Planner,Domain,Instance,IPC_Score
bfws,barman,instance-01.pddl,0.9615151909493754
bfws,barman,instance-02.pddl,0.9649502877912061
bfws,barman,instance-03.pddl,0.9282344820339054
bfws,barman,instance-04.pddl,0.7689092666034256
bfws,barman,instance-07.pddl,0.9562415216343427
bfws,barman,instance-08.pddl,0.9549166520283936
bfws,barman,instance-09.pddl,0.9484157279412084
bfws,barman,instance-11.pddl,0.9706424504865538
bfws,barman,instance-12.pddl,0.967090416089243
bfws,barman,instance-13.pddl,0.9095797520163645
bfws,barman,instance-14.pddl,0.631688494300394
bfws,barman,instance-16.pddl,0.9644509788435403
bfws,barman,instance-17.pddl,0.9707858086996085
bfws,barman,instance-18.pddl,0.9000227084688859
bfws,barman,instance-19.pddl,0.6171650251465123
bfws,depots,instance-01.pddl,0.9088017353017049
bfws,depots,instance-02.pddl,0.8978934768946281
bfws,depots,instance-03.pddl,0.9015298317896273
bfws,depots,instance-04.pddl,0.8970960435569626
bfws,depots,instance-07.pddl,0.8918539992591069
bfws,depots,instance-08.pddl,0.9123760233627001
bfws,depots,instance-09.pddl,0.40918748079502315
bfws,depots,instance-11.pddl,0.8998809119165823
bfws,depots,instance-12.pddl,0.9245880358229012
bfws,depots,instance-13.pddl,0.9050701831546265
bfws,depots,instance-14.pddl,0.9012117293066891
bfws,depots,instance-16.pddl,0.9083967209135168
bfws,depots,instance-17.pddl,0.8721158396024433
bfws,depots,instance-18.pddl,0.9027023442079662
bfws,depots,instance-19.pddl,0.5413579939251347
bfws,ricochet-robots,instance-01.pddl,0.9141924813493729
bfws,ricochet-robots,instance-02.pddl,0.9921547514799294
bfws,ricochet-robots,instance-03.pddl,0.9837884572575991
bfws,ricochet-robots,instance-04.pddl,0.9342917452988728
bfws,ricochet-robots,instance-07.pddl,0.9311904258956692
bfws,ricochet-robots,instance-08.pddl,1.0
bfws,ricochet-robots,instance-09.pddl,0.9146428641423987
bfws,ricochet-robots,instance-11.pddl,0.9637430335713953
bfws,ricochet-robots,instance-12.pddl,0.935186992490068
bfws,ricochet-robots,instance-13.pddl,0.9439743597541013
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.8875294112939415
bfws,ricochet-robots,instance-17.pddl,0.0
bfws,ricochet-robots,instance-18.pddl,0.0
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9663018555832776
bfws,snake,instance-02.pddl,0.9899802066942133
bfws,snake,instance-03.pddl,0.9361945162015551
bfws,snake,instance-04.pddl,0.9145769552624807
bfws,snake,instance-07.pddl,0.9100675740246257
bfws,snake,instance-08.pddl,0.9367751179207696
bfws,snake,instance-09.pddl,0.9490219017037425
bfws,snake,instance-11.pddl,0.9526235758769755
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.8468826012253803
bfws,visitall,instance-02.pddl,0.9648670634880566
bfws,visitall,instance-03.pddl,0.9295936881854087
bfws,visitall,instance-04.pddl,0.9848198108716554
bfws,visitall,instance-07.pddl,0.9563351696856085
bfws,visitall,instance-08.pddl,0.9766229697146647
bfws,visitall,instance-09.pddl,0.9900130621138621
bfws,visitall,instance-11.pddl,0.891065108033236
bfws,visitall,instance-12.pddl,0.9356673329141356
bfws,visitall,instance-13.pddl,0.9149385194205853
bfws,visitall,instance-14.pddl,0.9310064947636203
bfws,visitall,instance-16.pddl,0.9709970453673334
bfws,visitall,instance-17.pddl,0.8879334001117193
bfws,visitall,instance-18.pddl,0.9453628992286237
bfws,visitall,instance-19.pddl,0.9389899411133074
decstar,barman,instance-01.pddl,0.0
decstar,barman,instance-02.pddl,0.0
decstar,barman,instance-03.pddl,0.9972433205343085
decstar,barman,instance-04.pddl,0.9994351788122648
decstar,barman,instance-07.pddl,0.0
decstar,barman,instance-08.pddl,0.0
decstar,barman,instance-09.pddl,0.0
decstar,barman,instance-11.pddl,0.0
decstar,barman,instance-12.pddl,0.0
decstar,barman,instance-13.pddl,0.0
decstar,barman,instance-14.pddl,0.9938517175666605
decstar,barman,instance-16.pddl,0.0
decstar,barman,instance-17.pddl,0.9818584014003399
decstar,barman,instance-18.pddl,0.0
decstar,barman,instance-19.pddl,0.0
decstar,depots,instance-01.pddl,0.9308067079862672
decstar,depots,instance-02.pddl,0.9359979378799538
decstar,depots,instance-03.pddl,0.9523365922179666
decstar,depots,instance-04.pddl,0.9623815899689049
decstar,depots,instance-07.pddl,0.9587376637493908
decstar,depots,instance-08.pddl,0.9639878520974193
decstar,depots,instance-09.pddl,0.9973128194532905
decstar,depots,instance-11.pddl,0.9818465488554594
decstar,depots,instance-12.pddl,0.0
decstar,depots,instance-13.pddl,0.9487020968720871
decstar,depots,instance-14.pddl,0.9561566607623592
decstar,depots,instance-16.pddl,0.9409423041864627
decstar,depots,instance-17.pddl,0.9460741630593412
decstar,depots,instance-18.pddl,0.965868697732435
decstar,depots,instance-19.pddl,0.9502743312203343
decstar,ricochet-robots,instance-01.pddl,0.0
decstar,ricochet-robots,instance-02.pddl,0.9940202367284738
decstar,ricochet-robots,instance-03.pddl,0.9856496414583682
decstar,ricochet-robots,instance-04.pddl,0.0
decstar,ricochet-robots,instance-07.pddl,0.9979013287519485
decstar,ricochet-robots,instance-08.pddl,0.0
decstar,ricochet-robots,instance-09.pddl,1.0
decstar,ricochet-robots,instance-11.pddl,0.0
decstar,ricochet-robots,instance-12.pddl,0.0
decstar,ricochet-robots,instance-13.pddl,0.9951258062870394
decstar,ricochet-robots,instance-14.pddl,0.0
decstar,ricochet-robots,instance-16.pddl,0.0
decstar,ricochet-robots,instance-17.pddl,0.0
decstar,ricochet-robots,instance-18.pddl,0.0
decstar,ricochet-robots,instance-19.pddl,0.0
decstar,snake,instance-01.pddl,0.8982226773735085
decstar,snake,instance-02.pddl,0.9343024715957037
decstar,snake,instance-03.pddl,0.9573826869338586
decstar,snake,instance-04.pddl,0.0
decstar,snake,instance-07.pddl,0.0
decstar,snake,instance-08.pddl,0.0
decstar,snake,instance-09.pddl,0.0
decstar,snake,instance-11.pddl,0.0
decstar,snake,instance-12.pddl,0.0
decstar,snake,instance-13.pddl,0.0
decstar,snake,instance-14.pddl,0.0
decstar,snake,instance-16.pddl,0.0
decstar,snake,instance-17.pddl,0.0
decstar,snake,instance-18.pddl,0.0
decstar,snake,instance-19.pddl,0.0
decstar,visitall,instance-01.pddl,0.0
decstar,visitall,instance-02.pddl,0.0
decstar,visitall,instance-03.pddl,0.0
decstar,visitall,instance-04.pddl,0.0
decstar,visitall,instance-07.pddl,0.0
decstar,visitall,instance-08.pddl,0.0
decstar,visitall,instance-09.pddl,0.0
decstar,visitall,instance-11.pddl,0.0
decstar,visitall,instance-12.pddl,0.0
decstar,visitall,instance-13.pddl,0.0
decstar,visitall,instance-14.pddl,0.0
decstar,visitall,instance-16.pddl,0.0
decstar,visitall,instance-17.pddl,0.0
decstar,visitall,instance-18.pddl,0.0
decstar,visitall,instance-19.pddl,0.0
lama,barman,instance-01.pddl,0.9409000505598452
lama,barman,instance-02.pddl,0.9666855364827575
lama,barman,instance-03.pddl,0.9625645141148935
lama,barman,instance-04.pddl,0.9894289467190349
lama,barman,instance-07.pddl,0.9502499262696733
lama,barman,instance-08.pddl,0.9568215253820201
lama,barman,instance-09.pddl,0.9806268668256747
lama,barman,instance-11.pddl,0.975406965302195
lama,barman,instance-12.pddl,0.971449165845331
lama,barman,instance-13.pddl,0.9859308553937584
lama,barman,instance-14.pddl,0.9505421191249196
lama,barman,instance-16.pddl,0.9682085101515465
lama,barman,instance-17.pddl,0.9659161167066226
lama,barman,instance-18.pddl,0.9672001423825415
lama,barman,instance-19.pddl,0.9745507428425338
lama,depots,instance-01.pddl,0.9255830214919459
lama,depots,instance-02.pddl,0.9067377509966608
lama,depots,instance-03.pddl,0.9291484071951356
lama,depots,instance-04.pddl,0.9408003461997061
lama,depots,instance-07.pddl,0.9064884757220669
lama,depots,instance-08.pddl,0.9177655857783786
lama,depots,instance-09.pddl,0.9668663768781527
lama,depots,instance-11.pddl,0.9800469118131504
lama,depots,instance-12.pddl,0.989847051344966
lama,depots,instance-13.pddl,0.9397711216790743
lama,depots,instance-14.pddl,0.9435272558315277
lama,depots,instance-16.pddl,0.9270553948000517
lama,depots,instance-17.pddl,0.947635139476055
lama,depots,instance-18.pddl,0.716373671777227
lama,depots,instance-19.pddl,0.9838199006220392
lama,ricochet-robots,instance-01.pddl,0.978754046339472
lama,ricochet-robots,instance-02.pddl,0.983015108182803
lama,ricochet-robots,instance-03.pddl,0.9778613871820621
lama,ricochet-robots,instance-04.pddl,0.0
lama,ricochet-robots,instance-07.pddl,0.9810664655044171
lama,ricochet-robots,instance-08.pddl,0.0
lama,ricochet-robots,instance-09.pddl,0.0
lama,ricochet-robots,instance-11.pddl,0.0
lama,ricochet-robots,instance-12.pddl,0.0
lama,ricochet-robots,instance-13.pddl,0.9771620789222595
lama,ricochet-robots,instance-14.pddl,0.9826985123776253
lama,ricochet-robots,instance-16.pddl,0.0
lama,ricochet-robots,instance-17.pddl,0.0
lama,ricochet-robots,instance-18.pddl,0.0
lama,ricochet-robots,instance-19.pddl,0.0
lama,snake,instance-01.pddl,0.9043965655809618
lama,snake,instance-02.pddl,0.9634216784387603
lama,snake,instance-03.pddl,0.0
lama,snake,instance-04.pddl,0.0
lama,snake,instance-07.pddl,0.0
lama,snake,instance-08.pddl,0.0
lama,snake,instance-09.pddl,0.0
lama,snake,instance-11.pddl,0.0
lama,snake,instance-12.pddl,0.0
lama,snake,instance-13.pddl,0.0
lama,snake,instance-14.pddl,0.0
lama,snake,instance-16.pddl,0.0
lama,snake,instance-17.pddl,0.0
lama,snake,instance-18.pddl,0.0
lama,snake,instance-19.pddl,0.0
lama,visitall,instance-01.pddl,0.8896973407443535
lama,visitall,instance-02.pddl,0.9421989694206206
lama,visitall,instance-03.pddl,0.9574473999140329
lama,visitall,instance-04.pddl,0.9360447708626469
lama,visitall,instance-07.pddl,0.9450795710516261
lama,visitall,instance-08.pddl,0.9368044132259594
lama,visitall,instance-09.pddl,0.925606287076355
lama,visitall,instance-11.pddl,0.9354235968760177
lama,visitall,instance-12.pddl,0.9366355801617882
lama,visitall,instance-13.pddl,0.9294141171085447
lama,visitall,instance-14.pddl,0.9212167619679398
lama,visitall,instance-16.pddl,0.8886320915958695
lama,visitall,instance-17.pddl,0.8743481249202721
lama,visitall,instance-18.pddl,0.8778251421333761
lama,visitall,instance-19.pddl,0.8529160860751804
madagascar,barman,instance-01.pddl,0.0
madagascar,barman,instance-02.pddl,0.0
madagascar,barman,instance-03.pddl,0.0
madagascar,barman,instance-04.pddl,0.6300821515630968
madagascar,barman,instance-07.pddl,0.0
madagascar,barman,instance-08.pddl,0.0
madagascar,barman,instance-09.pddl,1.0
