Planner,Domain,Instance,IPC_Score,LLM
bfws,barman,instance-01.pddl,0.9770638972322158,GPT-5.4
bfws,barman,instance-02.pddl,0.9973491537365798,GPT-5.4
bfws,barman,instance-03.pddl,1.0,Claude Opus 4.6
bfws,barman,instance-04.pddl,0.7904472986998907,Claude Opus 4.6
bfws,barman,instance-07.pddl,1.0,GPT-5.4
bfws,barman,instance-08.pddl,0.9816252971857489,Claude Opus 4.6
bfws,barman,instance-09.pddl,0.9799169321604694,GPT-5.4
bfws,barman,instance-11.pddl,0.9991892767125555,GPT-5.4
bfws,barman,instance-12.pddl,0.9792502733588251,Claude Opus 4.6
bfws,barman,instance-13.pddl,0.9239735797843256,Claude Opus 4.6
bfws,barman,instance-14.pddl,0.974112031297217,Claude Opus 4.6
bfws,barman,instance-16.pddl,0.9854795792954245,Claude Opus 4.6
bfws,barman,instance-17.pddl,0.9791537553361618,GPT-5.4
bfws,barman,instance-18.pddl,0.9844427352768716,GPT-5.4
bfws,barman,instance-19.pddl,0.6297854584959768,Claude Opus 4.6
bfws,depots,instance-01.pddl,0.906877411615964,GPT-5.4
bfws,depots,instance-02.pddl,0.8948057580922555,GPT-5.4
bfws,depots,instance-03.pddl,0.9011303008566333,GPT-5.4
bfws,depots,instance-04.pddl,0.9033493432374722,GPT-5.4
bfws,depots,instance-07.pddl,0.8953429453017442,Claude Opus 4.6
bfws,depots,instance-08.pddl,0.9064176223128617,GPT-5.4
bfws,depots,instance-09.pddl,0.9292474084119429,GPT-5.4
bfws,depots,instance-11.pddl,0.5437711649577147,Claude Opus 4.6
bfws,depots,instance-12.pddl,0.9532724380066988,GPT-5.4
bfws,depots,instance-13.pddl,0.9114892823603319,GPT-5.4
bfws,depots,instance-14.pddl,0.9289709296188212,Claude Opus 4.6
bfws,depots,instance-16.pddl,0.9146875910547672,Claude Opus 4.6
bfws,depots,instance-17.pddl,0.908365410484264,Gemini 3.1 Pro
bfws,depots,instance-18.pddl,0.9468729585470248,GPT-5.4
bfws,depots,instance-19.pddl,0.9304677988857315,Gemini 3.1 Pro
bfws,ricochet-robots,instance-01.pddl,0.8767579899731528,Claude Opus 4.6
bfws,ricochet-robots,instance-02.pddl,0.96623711239337,Gemini 3.1 Pro
bfws,ricochet-robots,instance-03.pddl,0.9929847052138916,Claude Opus 4.6
bfws,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-07.pddl,0.9211967382368674,Gemini 3.1 Pro
bfws,ricochet-robots,instance-08.pddl,0.9171057865101725,Gemini 3.1 Pro
bfws,ricochet-robots,instance-09.pddl,1.0,Gemini 3.1 Pro
bfws,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-12.pddl,1.0,Gemini 3.1 Pro
bfws,ricochet-robots,instance-13.pddl,0.9426974398278263,Gemini 3.1 Pro
bfws,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-16.pddl,0.9304932874424684,GPT-5.4
bfws,ricochet-robots,instance-17.pddl,0.9235094513049529,Claude Opus 4.6
