Planner,Domain,Instance,IPC_Score,LLM,Prompt_Type,Prompt_ID
bfws,barman,instance-01.pddl,0.991861063986584,GPT-5.4,Arch_Aware,3.0
bfws,barman,instance-02.pddl,1.0,Claude Opus 4.6,Arch_Aware,3.0
bfws,barman,instance-03.pddl,0.9709974279529239,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,barman,instance-04.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,barman,instance-07.pddl,0.9828675060480934,GPT-5.4,Arch_Aware,3.0
bfws,barman,instance-08.pddl,0.9913180196315449,DeepSeek-R1,Cross_Test,1.0
bfws,barman,instance-09.pddl,0.9785871058352491,Claude Opus 4.6,Arch_Aware,3.0
bfws,barman,instance-11.pddl,0.9945467078248487,Claude Opus 4.6,Cross_Test,2.0
bfws,barman,instance-12.pddl,0.9913201815628028,GPT-5.4,Arch_Aware,3.0
bfws,barman,instance-13.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,barman,instance-14.pddl,0.9869448616013519,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,barman,instance-16.pddl,0.9974653502382436,GPT-5.4,Arch_Aware,3.0
bfws,barman,instance-17.pddl,0.9899893876496817,DeepSeek-R1,Cross_Test,1.0
bfws,barman,instance-18.pddl,0.970850990155217,Claude Opus 4.6,Arch_Aware,3.0
bfws,barman,instance-19.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,depots,instance-01.pddl,1.0,Gemini 3.1 Pro,Cross_Test,4.0
bfws,depots,instance-02.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,depots,instance-03.pddl,0.9855999123984135,DeepSeek-R1,Arch_Aware,3.0
bfws,depots,instance-04.pddl,1.0,Claude Opus 4.6,Arch_Aware,3.0
bfws,depots,instance-07.pddl,1.0,DeepSeek-R1,Arch_Aware,3.0
bfws,depots,instance-08.pddl,1.0,Claude Opus 4.6,Arch_Aware,3.0
bfws,depots,instance-09.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,depots,instance-11.pddl,0.9665188526381853,Gemini 3.1 Pro,Cross_Test,4.0
bfws,depots,instance-12.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
bfws,depots,instance-13.pddl,1.0,Claude Opus 4.6,Arch_Aware,3.0
bfws,depots,instance-14.pddl,1.0,Gemini 3.1 Pro,Cross_Test,4.0
bfws,depots,instance-16.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
bfws,depots,instance-17.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
bfws,depots,instance-18.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
bfws,depots,instance-19.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
bfws,ricochet-robots,instance-01.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-02.pddl,0.9964134536313297,DeepSeek-R1,Cross_Test,1.0
bfws,ricochet-robots,instance-03.pddl,0.997057817096402,DeepSeek-R1,Cross_Test,1.0
bfws,ricochet-robots,instance-04.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-07.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-08.pddl,0.9896967787511972,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-09.pddl,0.9699273760503135,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-11.pddl,0.9809672668087853,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,ricochet-robots,instance-12.pddl,0.9585319633177819,DeepSeek-R1,Arch_Aware,3.0
bfws,ricochet-robots,instance-13.pddl,0.9738581097114436,DeepSeek-R1,Arch_Aware,3.0
bfws,ricochet-robots,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,ricochet-robots,instance-16.pddl,1.0,Claude Opus 4.6,Cross_Test,1.0
bfws,ricochet-robots,instance-17.pddl,1.0,Claude Opus 4.6,Cross_Test,1.0
bfws,ricochet-robots,instance-18.pddl,1.0,DeepSeek-R1,Arch_Aware,3.0
bfws,ricochet-robots,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-01.pddl,0.9836409670989488,Gemini 3.1 Pro,Cross_Test,2.0
bfws,snake,instance-02.pddl,0.9905317230894591,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-03.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-04.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-07.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-08.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-09.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-11.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
bfws,snake,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,snake,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-01.pddl,0.9731788634417905,Gemini 3.1 Pro,Arch_Aware,3.0
bfws,visitall,instance-02.pddl,0.9943965978389089,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-03.pddl,0.992258246003036,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-04.pddl,0.9925773163140531,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-07.pddl,1.0,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-08.pddl,0.9895456083899024,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-09.pddl,0.9950104756587124,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-11.pddl,0.9430743469677889,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-12.pddl,0.9562417165143591,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-13.pddl,0.994856220247588,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-14.pddl,0.972189490139016,GPT-5.4,Arch_Aware,3.0
bfws,visitall,instance-16.pddl,0.9674850426429664,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-17.pddl,0.8800218564095549,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-18.pddl,0.9498378338777019,Claude Opus 4.6,Arch_Aware,3.0
bfws,visitall,instance-19.pddl,0.9665219830906463,Claude Opus 4.6,Arch_Aware,3.0
decstar,barman,instance-01.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-02.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-03.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,barman,instance-04.pddl,1.0,GPT-5.4,Cross_Test,1.0
decstar,barman,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-14.pddl,1.0,GPT-5.4,Cross_Test,3.0
decstar,barman,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-17.pddl,1.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,barman,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,depots,instance-01.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-02.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-03.pddl,1.0,GPT-5.4,Cross_Test,4.0
decstar,depots,instance-04.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-07.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-08.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-09.pddl,1.0,DeepSeek-R1,Cross_Test,4.0
decstar,depots,instance-11.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,depots,instance-13.pddl,1.0,DeepSeek-R1,Arch_Aware,2.0
decstar,depots,instance-14.pddl,1.0,Gemini 3.1 Pro,Cross_Test,1.0
