Planner,Domain,Instance,IPC_Score,LLM,Iteration
bfws,barman,instance-01.pddl,1.0,DeepSeek-R1,3
bfws,barman,instance-02.pddl,0.9895118275907004,DeepSeek-R1,1
bfws,barman,instance-03.pddl,0.9963246484798496,Gemini 3.1 Pro,1
bfws,barman,instance-04.pddl,0.7986273745821788,DeepSeek-R1,1
bfws,barman,instance-07.pddl,0.9962540026553526,DeepSeek-R1,1
bfws,barman,instance-08.pddl,1.0,DeepSeek-R1,2
bfws,barman,instance-09.pddl,1.0,DeepSeek-R1,3
bfws,barman,instance-11.pddl,1.0,Claude Opus 4.6,3
bfws,barman,instance-12.pddl,1.0,Gemini 3.1 Pro,3
bfws,barman,instance-13.pddl,0.9398031617614155,Gemini 3.1 Pro,2
bfws,barman,instance-14.pddl,1.0,Gemini 3.1 Pro,1
bfws,barman,instance-16.pddl,1.0,DeepSeek-R1,2
bfws,barman,instance-17.pddl,1.0,GPT-5.4,3
bfws,barman,instance-18.pddl,1.0,Claude Opus 4.6,3
bfws,barman,instance-19.pddl,0.633503852609491,DeepSeek-R1,2
bfws,depots,instance-01.pddl,0.9915006202217586,Claude Opus 4.6,1
bfws,depots,instance-02.pddl,0.9770686535099934,Claude Opus 4.6,1
bfws,depots,instance-03.pddl,1.0,Claude Opus 4.6,1
bfws,depots,instance-04.pddl,0.9981115596777017,Claude Opus 4.6,1
bfws,depots,instance-07.pddl,0.968759084189501,Claude Opus 4.6,3
bfws,depots,instance-08.pddl,0.9870219934227937,Gemini 3.1 Pro,3
bfws,depots,instance-09.pddl,0.9932923619067844,Gemini 3.1 Pro,3
bfws,depots,instance-11.pddl,1.0,Gemini 3.1 Pro,3
bfws,depots,instance-12.pddl,0.9947579638121186,Claude Opus 4.6,3
bfws,depots,instance-13.pddl,0.9725559677470413,Gemini 3.1 Pro,3
bfws,depots,instance-14.pddl,0.9744331496021613,Claude Opus 4.6,3
bfws,depots,instance-16.pddl,0.9803487442355198,Gemini 3.1 Pro,3
bfws,depots,instance-17.pddl,0.9511222192081663,GPT-5.4,3
bfws,depots,instance-18.pddl,0.9947632730629293,Claude Opus 4.6,2
bfws,depots,instance-19.pddl,0.557046555161271,DeepSeek-R1,3
bfws,ricochet-robots,instance-01.pddl,0.9599071730444341,Gemini 3.1 Pro,3
bfws,ricochet-robots,instance-02.pddl,1.0,GPT-5.4,2
bfws,ricochet-robots,instance-03.pddl,1.0,GPT-5.4,2
bfws,ricochet-robots,instance-04.pddl,0.9313814212559584,GPT-5.4,3
bfws,ricochet-robots,instance-07.pddl,0.9813682793075476,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-08.pddl,0.9856394530880812,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-09.pddl,0.9567711534210569,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-11.pddl,1.0,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-12.pddl,0.9593808039415209,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-13.pddl,1.0,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-14.pddl,0.0,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-16.pddl,0.9767565689845511,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-17.pddl,0.9074556621404921,Gemini 3.1 Pro,2
bfws,ricochet-robots,instance-18.pddl,0.8688563205108719,Gemini 3.1 Pro,2
bfws,ricochet-robots,instance-19.pddl,0.0,Gemini 3.1 Pro,1
bfws,snake,instance-01.pddl,1.0,GPT-5.4,3
bfws,snake,instance-02.pddl,1.0,GPT-5.4,3
bfws,snake,instance-03.pddl,0.943452100853561,GPT-5.4,3
bfws,snake,instance-04.pddl,0.9412916370326595,Claude Opus 4.6,1
bfws,snake,instance-07.pddl,0.964799845331005,GPT-5.4,2
bfws,snake,instance-08.pddl,0.9790951461094726,Claude Opus 4.6,3
bfws,snake,instance-09.pddl,0.9487704006282826,Claude Opus 4.6,1
bfws,snake,instance-11.pddl,0.976957316029195,Claude Opus 4.6,2
bfws,snake,instance-12.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-13.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-14.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-16.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-17.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-18.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-19.pddl,0.0,DeepSeek-R1,1
bfws,visitall,instance-01.pddl,1.0,GPT-5.4,1
bfws,visitall,instance-02.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-03.pddl,1.0,Claude Opus 4.6,1
bfws,visitall,instance-04.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-07.pddl,0.9956336948871969,GPT-5.4,3
bfws,visitall,instance-08.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-09.pddl,0.9997243615407985,GPT-5.4,3
bfws,visitall,instance-11.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-12.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-13.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-14.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-16.pddl,1.0,GPT-5.4,1
bfws,visitall,instance-17.pddl,1.0,Claude Opus 4.6,3
bfws,visitall,instance-18.pddl,1.0,Claude Opus 4.6,3
bfws,visitall,instance-19.pddl,1.0,GPT-5.4,3
decstar,barman,instance-01.pddl,0.0,GPT-5.4,1
decstar,barman,instance-02.pddl,0.0,GPT-5.4,1
decstar,barman,instance-03.pddl,0.975448137065182,GPT-5.4,1
decstar,barman,instance-04.pddl,0.9757709290434038,Gemini 3.1 Pro,1
decstar,barman,instance-07.pddl,0.0,GPT-5.4,1
decstar,barman,instance-08.pddl,0.0,GPT-5.4,1
decstar,barman,instance-09.pddl,0.0,GPT-5.4,1
decstar,barman,instance-11.pddl,0.0,GPT-5.4,1
decstar,barman,instance-12.pddl,0.0,GPT-5.4,1
