Planner,Domain,Instance,IPC_Score
bfws,barman,instance-01.pddl,0.4186820217476878
bfws,barman,instance-02.pddl,0.4030611577697973
bfws,barman,instance-03.pddl,0.4079098204581749
bfws,barman,instance-04.pddl,0.7361529810717722
bfws,barman,instance-07.pddl,0.4104310215264627
bfws,barman,instance-08.pddl,0.4214877915545921
bfws,barman,instance-09.pddl,0.5287449821223487
bfws,barman,instance-11.pddl,0.439244996342135
bfws,barman,instance-12.pddl,0.4618244334908392
bfws,barman,instance-13.pddl,0.4046968845899733
bfws,barman,instance-14.pddl,0.44178272216458614
bfws,barman,instance-16.pddl,0.4478902708972777
bfws,barman,instance-17.pddl,0.4596079860267798
bfws,barman,instance-18.pddl,0.4206447357786043
bfws,barman,instance-19.pddl,0.43377766057023875
bfws,depots,instance-01.pddl,0.8064210527514497
bfws,depots,instance-02.pddl,0.7884037944152155
bfws,depots,instance-03.pddl,0.7241699313851024
bfws,depots,instance-04.pddl,0.7747917147751596
bfws,depots,instance-07.pddl,0.7773050448468926
bfws,depots,instance-08.pddl,0.7691870698479812
bfws,depots,instance-09.pddl,0.38001122039288054
bfws,depots,instance-11.pddl,0.7155385536219337
bfws,depots,instance-12.pddl,0.7196939415254766
bfws,depots,instance-13.pddl,0.7730237334564278
bfws,depots,instance-14.pddl,0.7007665761854787
bfws,depots,instance-16.pddl,0.7503909255120973
bfws,depots,instance-17.pddl,0.7047441368588448
bfws,depots,instance-18.pddl,0.7089470270510178
bfws,depots,instance-19.pddl,0.4310319789223807
bfws,ricochet-robots,instance-01.pddl,0.9141924813493729
bfws,ricochet-robots,instance-02.pddl,0.9921547514799294
bfws,ricochet-robots,instance-03.pddl,0.8388125306536486
bfws,ricochet-robots,instance-04.pddl,0.9342917452988728
bfws,ricochet-robots,instance-07.pddl,0.7262117255712861
bfws,ricochet-robots,instance-08.pddl,1.0
bfws,ricochet-robots,instance-09.pddl,0.7515159311250772
bfws,ricochet-robots,instance-11.pddl,0.9637430335713953
bfws,ricochet-robots,instance-12.pddl,0.935186992490068
bfws,ricochet-robots,instance-13.pddl,0.47051128186834484
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.8875294112939415
bfws,ricochet-robots,instance-17.pddl,0.0
bfws,ricochet-robots,instance-18.pddl,0.0
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9663018555832776
bfws,snake,instance-02.pddl,0.529425793802381
bfws,snake,instance-03.pddl,0.5174393595757099
bfws,snake,instance-04.pddl,0.9145769552624807
bfws,snake,instance-07.pddl,0.4808471688983929
bfws,snake,instance-08.pddl,0.7746221557077928
bfws,snake,instance-09.pddl,0.550049994234539
bfws,snake,instance-11.pddl,0.5094805878830504
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.8468826012253803
bfws,visitall,instance-02.pddl,0.9648670634880566
bfws,visitall,instance-03.pddl,0.9295936881854087
