Planner,Domain,Instance,IPC_Score,LLM
bfws,barman,instance-01.pddl,0.42160350681392994,GPT-5.4
bfws,barman,instance-02.pddl,0.4086055358735595,GPT-5.4
bfws,barman,instance-03.pddl,0.4211930438763379,Claude Opus 4.6
bfws,barman,instance-04.pddl,0.7558714887837906,Claude Opus 4.6
bfws,barman,instance-07.pddl,0.41828716361796875,GPT-5.4
bfws,barman,instance-08.pddl,0.4266111871337424,Claude Opus 4.6
bfws,barman,instance-09.pddl,0.5383940566924214,GPT-5.4
bfws,barman,instance-11.pddl,0.444998282069813,GPT-5.4
bfws,barman,instance-12.pddl,0.4645793248769595,Claude Opus 4.6
bfws,barman,instance-13.pddl,0.4075214805340119,Claude Opus 4.6
bfws,barman,instance-14.pddl,0.5857979031810131,Claude Opus 4.6
bfws,barman,instance-16.pddl,0.4523730874879709,Claude Opus 4.6
bfws,barman,instance-17.pddl,0.4614751414349434,GPT-5.4
bfws,barman,instance-18.pddl,0.4382076665585382,GPT-5.4
bfws,barman,instance-19.pddl,0.43997456914948596,Claude Opus 4.6
bfws,depots,instance-01.pddl,0.8049055136263134,GPT-5.4
bfws,depots,instance-02.pddl,0.7860222007077371,GPT-5.4
bfws,depots,instance-03.pddl,0.7239121158709518,GPT-5.4
bfws,depots,instance-04.pddl,0.7794517453858796,GPT-5.4
bfws,depots,instance-07.pddl,0.7799539812918491,Claude Opus 4.6
bfws,depots,instance-08.pddl,0.7649477976686999,GPT-5.4
bfws,depots,instance-09.pddl,0.7912811065520581,GPT-5.4
bfws,depots,instance-11.pddl,0.47052192833764966,Claude Opus 4.6
bfws,depots,instance-12.pddl,0.7369550769207502,GPT-5.4
bfws,depots,instance-13.pddl,0.777701581105942,GPT-5.4
bfws,depots,instance-14.pddl,0.7174365480978501,Claude Opus 4.6
bfws,depots,instance-16.pddl,0.7546785024636982,Claude Opus 4.6
bfws,depots,instance-17.pddl,0.7282278553425564,Gemini 3.1 Pro
bfws,depots,instance-18.pddl,0.7359079294121381,GPT-5.4
bfws,depots,instance-19.pddl,0.6461888535908661,Gemini 3.1 Pro
bfws,ricochet-robots,instance-01.pddl,0.8767579899731528,Claude Opus 4.6
bfws,ricochet-robots,instance-02.pddl,0.96623711239337,Gemini 3.1 Pro
bfws,ricochet-robots,instance-03.pddl,0.8454888822751132,Claude Opus 4.6
bfws,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-07.pddl,0.720119128152386,Gemini 3.1 Pro
bfws,ricochet-robots,instance-08.pddl,0.9171057865101725,Gemini 3.1 Pro
bfws,ricochet-robots,instance-09.pddl,0.8081977968936376,Gemini 3.1 Pro
bfws,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-12.pddl,1.0,Gemini 3.1 Pro
bfws,ricochet-robots,instance-13.pddl,0.4701938298405989,Gemini 3.1 Pro
bfws,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
bfws,ricochet-robots,instance-16.pddl,0.9304932874424684,GPT-5.4
bfws,ricochet-robots,instance-17.pddl,0.9235094513049529,Claude Opus 4.6
bfws,ricochet-robots,instance-18.pddl,0.8562870519502295,Claude Opus 4.6
bfws,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
bfws,snake,instance-01.pddl,0.967430053623105,DeepSeek-R1
bfws,snake,instance-02.pddl,0.5285968810173806,DeepSeek-R1
bfws,snake,instance-03.pddl,0.5286602356839432,DeepSeek-R1
bfws,snake,instance-04.pddl,0.987075363348132,DeepSeek-R1
bfws,snake,instance-07.pddl,0.5008797099048911,GPT-5.4
bfws,snake,instance-08.pddl,0.80741276364721,DeepSeek-R1
bfws,snake,instance-09.pddl,0.5618027089015645,DeepSeek-R1
bfws,snake,instance-11.pddl,0.520424129716764,DeepSeek-R1
bfws,snake,instance-12.pddl,0.0,GPT-5.4
bfws,snake,instance-13.pddl,0.0,GPT-5.4
bfws,snake,instance-14.pddl,0.0,GPT-5.4
bfws,snake,instance-16.pddl,0.0,GPT-5.4
bfws,snake,instance-17.pddl,0.0,GPT-5.4
bfws,snake,instance-18.pddl,0.0,GPT-5.4
bfws,snake,instance-19.pddl,0.0,GPT-5.4
bfws,visitall,instance-01.pddl,0.9104231853283927,Claude Opus 4.6
bfws,visitall,instance-02.pddl,0.9503286992684906,Claude Opus 4.6
bfws,visitall,instance-03.pddl,0.9579245648780618,Claude Opus 4.6
bfws,visitall,instance-04.pddl,0.9541156968578798,Claude Opus 4.6
bfws,visitall,instance-07.pddl,0.9897843103119596,GPT-5.4
bfws,visitall,instance-08.pddl,0.9864379966834975,GPT-5.4
bfws,visitall,instance-09.pddl,1.0,GPT-5.4
bfws,visitall,instance-11.pddl,0.9208193196518636,Claude Opus 4.6
bfws,visitall,instance-12.pddl,0.9540140518552355,GPT-5.4
bfws,visitall,instance-13.pddl,0.9696778127466164,Claude Opus 4.6
bfws,visitall,instance-14.pddl,0.9551380062754765,GPT-5.4
bfws,visitall,instance-16.pddl,0.9940661517002275,GPT-5.4
bfws,visitall,instance-17.pddl,0.9352981730168691,DeepSeek-R1
bfws,visitall,instance-18.pddl,0.9567012706434858,GPT-5.4
bfws,visitall,instance-19.pddl,0.9313738309301234,GPT-5.4
decstar,barman,instance-01.pddl,0.0,GPT-5.4
decstar,barman,instance-02.pddl,0.0,GPT-5.4
decstar,barman,instance-03.pddl,0.3610970580802359,GPT-5.4
decstar,barman,instance-04.pddl,0.4682405535709067,Gemini 3.1 Pro
decstar,barman,instance-07.pddl,0.0,GPT-5.4
decstar,barman,instance-08.pddl,0.0,GPT-5.4
decstar,barman,instance-09.pddl,0.0,GPT-5.4
decstar,barman,instance-11.pddl,0.0,GPT-5.4
decstar,barman,instance-12.pddl,0.0,GPT-5.4
decstar,barman,instance-13.pddl,0.0,GPT-5.4
decstar,barman,instance-14.pddl,0.3706027672104106,Gemini 3.1 Pro
decstar,barman,instance-16.pddl,0.0,GPT-5.4
decstar,barman,instance-17.pddl,0.7803798991089116,GPT-5.4
decstar,barman,instance-18.pddl,0.0,GPT-5.4
decstar,barman,instance-19.pddl,0.0,GPT-5.4
decstar,depots,instance-01.pddl,0.7018506083709739,DeepSeek-R1
decstar,depots,instance-02.pddl,0.6748935581278948,GPT-5.4
decstar,depots,instance-03.pddl,0.6503012305194096,DeepSeek-R1
decstar,depots,instance-04.pddl,0.5827426587661534,Claude Opus 4.6
decstar,depots,instance-07.pddl,0.6433037308421686,Claude Opus 4.6
decstar,depots,instance-08.pddl,0.6126991502272692,GPT-5.4
decstar,depots,instance-09.pddl,0.33572982495830694,Claude Opus 4.6
decstar,depots,instance-11.pddl,0.5720081755488551,Claude Opus 4.6
decstar,depots,instance-12.pddl,0.0,GPT-5.4
decstar,depots,instance-13.pddl,0.6233237131546636,Gemini 3.1 Pro
decstar,depots,instance-14.pddl,0.6214705636529495,GPT-5.4
decstar,depots,instance-16.pddl,0.6182600433854527,Claude Opus 4.6
decstar,depots,instance-17.pddl,0.645152708100774,Gemini 3.1 Pro
decstar,depots,instance-18.pddl,0.726701697860635,Claude Opus 4.6
decstar,depots,instance-19.pddl,0.5840089710153805,Claude Opus 4.6
decstar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-02.pddl,0.9686288754996393,Gemini 3.1 Pro
decstar,ricochet-robots,instance-03.pddl,0.9827844171285738,Gemini 3.1 Pro
decstar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-07.pddl,0.9964317459862605,Gemini 3.1 Pro
decstar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4
decstar,ricochet-robots,instance-09.pddl,0.9940305224569512,Gemini 3.1 Pro
decstar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
