Planner,Domain,Instance,IPC_Score,LLM,Iteration
bfws,barman,instance-01.pddl,0.4258177994122236,DeepSeek-R1,3
bfws,barman,instance-02.pddl,0.40728393222120907,DeepSeek-R1,1
bfws,barman,instance-03.pddl,0.4205396333454794,Gemini 3.1 Pro,1
bfws,barman,instance-04.pddl,0.763348204586744,DeepSeek-R1,1
bfws,barman,instance-07.pddl,0.4176303170410659,DeepSeek-R1,1
bfws,barman,instance-08.pddl,0.43004535151326406,DeepSeek-R1,2
bfws,barman,instance-09.pddl,0.5444010899503371,DeepSeek-R1,3
bfws,barman,instance-11.pddl,0.4451590126040674,Claude Opus 4.6,3
bfws,barman,instance-12.pddl,0.46919818575044825,Gemini 3.1 Pro,3
bfws,barman,instance-13.pddl,0.4105715685270495,Gemini 3.1 Pro,2
bfws,barman,instance-14.pddl,0.5950619136011924,Gemini 3.1 Pro,1
bfws,barman,instance-16.pddl,0.4554085826229384,DeepSeek-R1,2
bfws,barman,instance-17.pddl,0.4660540453501605,GPT-5.4,3
bfws,barman,instance-18.pddl,0.4412634368047682,Claude Opus 4.6,3
bfws,barman,instance-19.pddl,0.44178613106716275,DeepSeek-R1,2
bfws,depots,instance-01.pddl,0.8708759099155637,Claude Opus 4.6,1
bfws,depots,instance-02.pddl,0.8487975395238209,Claude Opus 4.6,1
bfws,depots,instance-03.pddl,0.7863701771335756,Claude Opus 4.6,1
bfws,depots,instance-04.pddl,0.8490019327549165,Claude Opus 4.6,1
bfws,depots,instance-07.pddl,0.8350836382679382,Claude Opus 4.6,3
bfws,depots,instance-08.pddl,0.8215690250251848,Gemini 3.1 Pro,3
bfws,depots,instance-09.pddl,0.8372498166535599,Gemini 3.1 Pro,3
bfws,depots,instance-11.pddl,0.7774293106146845,Gemini 3.1 Pro,3
bfws,depots,instance-12.pddl,0.7615065056810151,Claude Opus 4.6,3
bfws,depots,instance-13.pddl,0.8217243459111684,Gemini 3.1 Pro,3
bfws,depots,instance-14.pddl,0.7442529513613441,Claude Opus 4.6,3
bfws,depots,instance-16.pddl,0.7988220406523105,Gemini 3.1 Pro,3
bfws,depots,instance-17.pddl,0.7554538394689143,GPT-5.4,3
bfws,depots,instance-18.pddl,0.7645131071645141,Claude Opus 4.6,2
bfws,depots,instance-19.pddl,0.44091923093283697,DeepSeek-R1,3
bfws,ricochet-robots,instance-01.pddl,0.9599071730444341,Gemini 3.1 Pro,3
bfws,ricochet-robots,instance-02.pddl,1.0,GPT-5.4,2
bfws,ricochet-robots,instance-03.pddl,0.850569553591343,GPT-5.4,2
bfws,ricochet-robots,instance-04.pddl,0.9313814212559584,GPT-5.4,3
bfws,ricochet-robots,instance-07.pddl,0.7563723595956869,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-08.pddl,0.9856394530880812,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-09.pddl,0.7797253436933131,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-11.pddl,1.0,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-12.pddl,0.9593808039415209,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-13.pddl,0.48402786871056397,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-14.pddl,0.0,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-16.pddl,0.9767565689845511,Gemini 3.1 Pro,1
bfws,ricochet-robots,instance-17.pddl,0.9074556621404921,Gemini 3.1 Pro,2
bfws,ricochet-robots,instance-18.pddl,0.8688563205108719,Gemini 3.1 Pro,2
bfws,ricochet-robots,instance-19.pddl,0.0,Gemini 3.1 Pro,1
bfws,snake,instance-01.pddl,1.0,GPT-5.4,3
bfws,snake,instance-02.pddl,0.5322779666214436,GPT-5.4,3
bfws,snake,instance-03.pddl,0.5196487655395391,GPT-5.4,3
bfws,snake,instance-04.pddl,0.9412916370326595,Claude Opus 4.6,1
bfws,snake,instance-07.pddl,0.49570526631662903,GPT-5.4,2
bfws,snake,instance-08.pddl,0.8033347320236323,Claude Opus 4.6,3
bfws,snake,instance-09.pddl,0.5499654974674255,Claude Opus 4.6,1
bfws,snake,instance-11.pddl,0.516359050575899,Claude Opus 4.6,2
bfws,snake,instance-12.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-13.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-14.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-16.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-17.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-18.pddl,0.0,DeepSeek-R1,1
bfws,snake,instance-19.pddl,0.0,DeepSeek-R1,1
bfws,visitall,instance-01.pddl,1.0,GPT-5.4,1
bfws,visitall,instance-02.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-03.pddl,1.0,Claude Opus 4.6,1
bfws,visitall,instance-04.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-07.pddl,0.9956336948871969,GPT-5.4,3
bfws,visitall,instance-08.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-09.pddl,0.9997243615407985,GPT-5.4,3
bfws,visitall,instance-11.pddl,1.0,GPT-5.4,3
bfws,visitall,instance-12.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-13.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-14.pddl,1.0,Claude Opus 4.6,2
bfws,visitall,instance-16.pddl,1.0,GPT-5.4,1
bfws,visitall,instance-17.pddl,1.0,Claude Opus 4.6,3
bfws,visitall,instance-18.pddl,1.0,Claude Opus 4.6,3
bfws,visitall,instance-19.pddl,1.0,GPT-5.4,3
decstar,barman,instance-01.pddl,0.0,GPT-5.4,1
decstar,barman,instance-02.pddl,0.0,GPT-5.4,1
decstar,barman,instance-03.pddl,0.35850364939070956,GPT-5.4,1
decstar,barman,instance-04.pddl,0.46337853507942156,Gemini 3.1 Pro,1
decstar,barman,instance-07.pddl,0.0,GPT-5.4,1
decstar,barman,instance-08.pddl,0.0,GPT-5.4,1
decstar,barman,instance-09.pddl,0.0,GPT-5.4,1
decstar,barman,instance-11.pddl,0.0,GPT-5.4,1
decstar,barman,instance-12.pddl,0.0,GPT-5.4,1
decstar,barman,instance-13.pddl,0.0,GPT-5.4,1
decstar,barman,instance-14.pddl,0.36776149808718983,Gemini 3.1 Pro,2
decstar,barman,instance-16.pddl,0.0,GPT-5.4,1
decstar,barman,instance-17.pddl,0.7869629713800286,Claude Opus 4.6,1
decstar,barman,instance-18.pddl,0.0,GPT-5.4,1
decstar,barman,instance-19.pddl,0.0,GPT-5.4,1
decstar,depots,instance-01.pddl,0.7140394710635664,Claude Opus 4.6,2
decstar,depots,instance-02.pddl,0.6895557136467527,Claude Opus 4.6,3
decstar,depots,instance-03.pddl,0.6606099204190639,Claude Opus 4.6,1
decstar,depots,instance-04.pddl,0.5881473627814279,Claude Opus 4.6,3
decstar,depots,instance-07.pddl,0.6525909924820285,Claude Opus 4.6,3
decstar,depots,instance-08.pddl,0.6158831993247595,Claude Opus 4.6,3
decstar,depots,instance-09.pddl,0.33410562882127454,Claude Opus 4.6,2
decstar,depots,instance-11.pddl,0.5737333461821565,Claude Opus 4.6,3
decstar,depots,instance-12.pddl,0.0,DeepSeek-R1,1
decstar,depots,instance-13.pddl,0.6286613797795074,Claude Opus 4.6,3
decstar,depots,instance-14.pddl,0.6242861102157001,Claude Opus 4.6,3
decstar,depots,instance-16.pddl,0.6165595838142454,Claude Opus 4.6,3
decstar,depots,instance-17.pddl,0.6562453669715527,Claude Opus 4.6,3
decstar,depots,instance-18.pddl,0.7331098965190705,Claude Opus 4.6,2
decstar,depots,instance-19.pddl,0.5848445577176289,Claude Opus 4.6,2
decstar,ricochet-robots,instance-01.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-02.pddl,0.9521426030961394,Gemini 3.1 Pro,1
decstar,ricochet-robots,instance-03.pddl,0.9860695768457436,DeepSeek-R1,1
decstar,ricochet-robots,instance-04.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-07.pddl,0.9749217004629669,DeepSeek-R1,1
decstar,ricochet-robots,instance-08.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-09.pddl,0.9812536623481475,DeepSeek-R1,1
decstar,ricochet-robots,instance-11.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-12.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-13.pddl,0.9774431106118994,DeepSeek-R1,1
decstar,ricochet-robots,instance-14.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-16.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-17.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-18.pddl,0.0,DeepSeek-R1,1
decstar,ricochet-robots,instance-19.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-01.pddl,0.885889103435389,Claude Opus 4.6,3
decstar,snake,instance-02.pddl,0.4303997117821494,DeepSeek-R1,3
decstar,snake,instance-03.pddl,0.4123396740537703,DeepSeek-R1,1
decstar,snake,instance-04.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-07.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-08.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-09.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-11.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-12.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-13.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-14.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-16.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-17.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-18.pddl,0.0,DeepSeek-R1,1
decstar,snake,instance-19.pddl,0.0,DeepSeek-R1,1
decstar,visitall,instance-01.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-02.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-03.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-04.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-07.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-08.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-09.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-11.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-12.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-13.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-14.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-16.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-17.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-18.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-19.pddl,0.0,DeepSeek-R1,2
lama,barman,instance-01.pddl,1.0,GPT-5.4,1
lama,barman,instance-02.pddl,1.0,Gemini 3.1 Pro,2
lama,barman,instance-03.pddl,1.0,Gemini 3.1 Pro,1
lama,barman,instance-04.pddl,1.0,GPT-5.4,1
lama,barman,instance-07.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-08.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-09.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-11.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-12.pddl,1.0,Claude Opus 4.6,2
lama,barman,instance-13.pddl,0.9975003652470508,DeepSeek-R1,1
lama,barman,instance-14.pddl,1.0,DeepSeek-R1,1
lama,barman,instance-16.pddl,0.9964402963823128,DeepSeek-R1,3
lama,barman,instance-17.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-18.pddl,0.9971369342995594,DeepSeek-R1,2
lama,barman,instance-19.pddl,1.0,Claude Opus 4.6,2
