Planner,LLM,S0 IPC,S1 IPC,S2 IPC,S3 IPC,Best Stage,Gain (S3-S0)
BFWS,GPT-5.4,58.11,56.5465,44.0066,60.6024,S3,2.4924
BFWS,Claude Opus 4.6,58.11,57.996,58.8949,58.9386,S3,0.8286
BFWS,DeepSeek-R1,58.11,34.3917,56.9076,46.8617,S0,-11.2483
BFWS,Gemini 3.1 Pro,58.11,53.495,57.7845,58.9504,S3,0.8404
LAMA,GPT-5.4,49.9257,49.5886,45.2248,52.3497,S3,2.424
LAMA,Claude Opus 4.6,49.9257,49.4835,50.9444,52.6984,S3,2.7727
LAMA,DeepSeek-R1,49.9257,29.4647,51.5098,50.3565,S2,0.4308
LAMA,Gemini 3.1 Pro,49.9257,51.2019,36.1273,52.0238,S3,2.0981
DecStar,GPT-5.4,25.1264,24.7981,25.3426,24.6966,S2,-0.4298
DecStar,Claude Opus 4.6,25.1264,24.9246,25.6532,25.0769,S2,-0.0495
DecStar,DeepSeek-R1,25.1264,16.1319,25.7037,24.6601,S2,-0.4663
DecStar,Gemini 3.1 Pro,25.1264,25.0857,7.9766,24.626,S0,-0.5004
Madagascar,GPT-5.4,21.0067,20.5196,20.8252,21.756,S3,0.7493
Madagascar,Claude Opus 4.6,21.0067,20.758,21.8258,20.9548,S2,-0.0519
Madagascar,DeepSeek-R1,21.0067,17.0844,21.6526,20.5939,S2,-0.4128
Madagascar,Gemini 3.1 Pro,21.0067,22.3614,22.2862,22.6521,S3,1.6454
