LLM,Planner,Target IPC (sum),Target Domains,Cross IPC (sum),Cross Domains,Total IPC
GPT-5.4,BFWS,33.8558,4,57.7791,6,91.6349
GPT-5.4,LAMA,36.5054,4,45.6494,5,82.1548
GPT-5.4,DecStar,17.2359,5,24.9259,8,42.1618
GPT-5.4,Madagascar,20.2483,5,41.3518,8,61.6001
Claude Opus 4.6,BFWS,46.6626,5,86.2204,10,132.883
Claude Opus 4.6,LAMA,41.0459,5,71.6303,8,112.6762
Claude Opus 4.6,DecStar,17.4494,5,38.5022,10,55.9516
Claude Opus 4.6,Madagascar,21.2254,5,57.5094,11,78.7348
DeepSeek-R1,BFWS,45.0327,5,72.7977,8,117.8304
DeepSeek-R1,LAMA,41.4627,5,46.0937,5,87.5564
DeepSeek-R1,DecStar,17.4756,5,36.9545,8,54.4301
DeepSeek-R1,Madagascar,20.4934,5,53.7268,9,74.2202
Gemini 3.1 Pro,BFWS,45.677,5,59.9547,7,105.6317
Gemini 3.1 Pro,LAMA,26.2945,4,42.2197,6,68.5142
Gemini 3.1 Pro,DecStar,6.7397,3,41.7352,9,48.4749
Gemini 3.1 Pro,Madagascar,21.2634,5,39.3674,8,60.6308
