Planner,Domain,Instance,T_star,Source_Stage
bfws,barman,instance-01.pddl,38.098876,Feedback_Loop3 (DeepSeek-R1)
bfws,barman,instance-02.pddl,50.260899,Arch_Aware (Claude Opus 4.6)
bfws,barman,instance-03.pddl,46.732993,General (Claude Opus 4.6)
bfws,barman,instance-04.pddl,17.201361,Cross_Test (Claude Opus 4.6)
bfws,barman,instance-07.pddl,52.032441,General (GPT-5.4)
bfws,barman,instance-08.pddl,70.417203,Feedback_Loop2 (DeepSeek-R1)
bfws,barman,instance-09.pddl,21.776601,Feedback_Loop3 (DeepSeek-R1)
bfws,barman,instance-11.pddl,53.403163,Feedback_Loop3 (Claude Opus 4.6)
bfws,barman,instance-12.pddl,46.70253,Feedback_Loop3 (Gemini 3.1 Pro)
bfws,barman,instance-13.pddl,108.214737,Cross_Test (Claude Opus 4.6)
bfws,barman,instance-14.pddl,7.507243,Feedback_Loop1 (Gemini 3.1 Pro)
bfws,barman,instance-16.pddl,48.046189,Feedback_Loop2 (DeepSeek-R1)
bfws,barman,instance-17.pddl,19.749801,Feedback_Loop3 (GPT-5.4)
bfws,barman,instance-18.pddl,32.821047,Feedback_Loop3 (Claude Opus 4.6)
bfws,barman,instance-19.pddl,14.948028,Cross_Test (Claude Opus 4.6)
bfws,depots,instance-01.pddl,0.457601,Cross_Test (Gemini 3.1 Pro)
bfws,depots,instance-02.pddl,0.474504,Cross_Test (Claude Opus 4.6)
bfws,depots,instance-03.pddl,0.630733,Feedback_Loop1 (Claude Opus 4.6)
bfws,depots,instance-04.pddl,0.532521,Arch_Aware (Claude Opus 4.6)
bfws,depots,instance-07.pddl,0.511773,Arch_Aware (DeepSeek-R1)
bfws,depots,instance-08.pddl,0.633205,Arch_Aware (Claude Opus 4.6)
bfws,depots,instance-09.pddl,0.85363,Cross_Test (Claude Opus 4.6)
bfws,depots,instance-11.pddl,0.836818,Feedback_Loop3 (Gemini 3.1 Pro)
bfws,depots,instance-12.pddl,1.561057,Cross_Test (DeepSeek-R1)
bfws,depots,instance-13.pddl,0.592274,Arch_Aware (Claude Opus 4.6)
bfws,depots,instance-14.pddl,0.981121,Cross_Test (Gemini 3.1 Pro)
bfws,depots,instance-16.pddl,0.658651,Cross_Test (DeepSeek-R1)
bfws,depots,instance-17.pddl,0.995492,Cross_Test (Claude Opus 4.6)
bfws,depots,instance-18.pddl,1.820217,Cross_Test (DeepSeek-R1)
bfws,depots,instance-19.pddl,1.364054,Cross_Test (DeepSeek-R1)
