Planner,Domain,Instance,IPC Score
bfws,barman,instance-01.pddl,0.9771
bfws,barman,instance-02.pddl,0.9829
bfws,barman,instance-03.pddl,1.0
bfws,barman,instance-04.pddl,0.7904
bfws,barman,instance-07.pddl,0.9739
bfws,barman,instance-08.pddl,0.9816
bfws,barman,instance-09.pddl,0.9659
bfws,barman,instance-11.pddl,0.9713
bfws,barman,instance-12.pddl,0.9793
bfws,barman,instance-13.pddl,0.924
bfws,barman,instance-14.pddl,0.9741
bfws,barman,instance-16.pddl,0.9855
bfws,barman,instance-17.pddl,0.9678
bfws,barman,instance-18.pddl,0.9098
bfws,barman,instance-19.pddl,0.6298
bfws,depots,instance-01.pddl,0.903
bfws,depots,instance-02.pddl,0.8708
bfws,depots,instance-03.pddl,0.8937
bfws,depots,instance-04.pddl,0.876
bfws,depots,instance-07.pddl,0.8953
bfws,depots,instance-08.pddl,0.9027
bfws,depots,instance-09.pddl,0.9152
bfws,depots,instance-11.pddl,0.5438
bfws,depots,instance-12.pddl,0.9436
bfws,depots,instance-13.pddl,0.9019
bfws,depots,instance-14.pddl,0.929
bfws,depots,instance-16.pddl,0.9147
bfws,depots,instance-17.pddl,0.8939
bfws,depots,instance-18.pddl,0.9406
bfws,depots,instance-19.pddl,0.5467
bfws,ricochet-robots,instance-01.pddl,0.8768
bfws,ricochet-robots,instance-02.pddl,0.8908
bfws,ricochet-robots,instance-03.pddl,0.993
bfws,ricochet-robots,instance-04.pddl,0.0
bfws,ricochet-robots,instance-07.pddl,0.8847
bfws,ricochet-robots,instance-08.pddl,0.9077
bfws,ricochet-robots,instance-09.pddl,0.8792
bfws,ricochet-robots,instance-11.pddl,0.0
bfws,ricochet-robots,instance-12.pddl,0.9133
bfws,ricochet-robots,instance-13.pddl,0.8937
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.9142
bfws,ricochet-robots,instance-17.pddl,0.9235
bfws,ricochet-robots,instance-18.pddl,0.8563
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9328
bfws,snake,instance-02.pddl,0.8228
bfws,snake,instance-03.pddl,0.8999
bfws,snake,instance-04.pddl,0.8607
bfws,snake,instance-07.pddl,0.8897
bfws,snake,instance-08.pddl,0.9298
bfws,snake,instance-09.pddl,0.8961
bfws,snake,instance-11.pddl,0.9273
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.9104
bfws,visitall,instance-02.pddl,0.9503
bfws,visitall,instance-03.pddl,0.9579
bfws,visitall,instance-04.pddl,0.9541
bfws,visitall,instance-07.pddl,0.9375
bfws,visitall,instance-08.pddl,0.9298
bfws,visitall,instance-09.pddl,0.9817
bfws,visitall,instance-11.pddl,0.9208
bfws,visitall,instance-12.pddl,0.9296
bfws,visitall,instance-13.pddl,0.9697
bfws,visitall,instance-14.pddl,0.9478
bfws,visitall,instance-16.pddl,0.9337
bfws,visitall,instance-17.pddl,0.8827
bfws,visitall,instance-18.pddl,0.9007
bfws,visitall,instance-19.pddl,0.9127
lama,barman,instance-01.pddl,0.8975
lama,barman,instance-02.pddl,0.9486
lama,barman,instance-03.pddl,0.9304
lama,barman,instance-04.pddl,0.9682
lama,barman,instance-07.pddl,0.9297
lama,barman,instance-08.pddl,0.9394
lama,barman,instance-09.pddl,0.9641
lama,barman,instance-11.pddl,0.9494
lama,barman,instance-12.pddl,0.9549
lama,barman,instance-13.pddl,0.961
lama,barman,instance-14.pddl,0.9224
lama,barman,instance-16.pddl,0.9614
lama,barman,instance-17.pddl,0.9417
lama,barman,instance-18.pddl,0.9488
lama,barman,instance-19.pddl,0.9426
lama,depots,instance-01.pddl,0.8879
lama,depots,instance-02.pddl,0.8674
lama,depots,instance-03.pddl,0.8552
lama,depots,instance-04.pddl,0.8991
lama,depots,instance-07.pddl,0.913
lama,depots,instance-08.pddl,0.9167
lama,depots,instance-09.pddl,0.9546
lama,depots,instance-11.pddl,0.9568
lama,depots,instance-12.pddl,0.9673
lama,depots,instance-13.pddl,0.9322
lama,depots,instance-14.pddl,0.9169
lama,depots,instance-16.pddl,0.8929
lama,depots,instance-17.pddl,0.9159
lama,depots,instance-18.pddl,0.7019
lama,depots,instance-19.pddl,0.961
lama,ricochet-robots,instance-01.pddl,0.985
lama,ricochet-robots,instance-02.pddl,0.989
lama,ricochet-robots,instance-03.pddl,0.9848
lama,ricochet-robots,instance-04.pddl,0.0
lama,ricochet-robots,instance-07.pddl,0.9847
lama,ricochet-robots,instance-08.pddl,0.0
lama,ricochet-robots,instance-09.pddl,0.0
lama,ricochet-robots,instance-11.pddl,0.0
lama,ricochet-robots,instance-12.pddl,0.0
lama,ricochet-robots,instance-13.pddl,0.9824
lama,ricochet-robots,instance-14.pddl,0.9769
lama,ricochet-robots,instance-16.pddl,0.0
lama,ricochet-robots,instance-17.pddl,0.0
lama,ricochet-robots,instance-18.pddl,0.0
lama,ricochet-robots,instance-19.pddl,0.0
lama,snake,instance-01.pddl,0.9698
lama,snake,instance-02.pddl,0.9827
lama,snake,instance-03.pddl,0.0
lama,snake,instance-04.pddl,0.0
lama,snake,instance-07.pddl,0.0
lama,snake,instance-08.pddl,0.0
lama,snake,instance-09.pddl,0.0
lama,snake,instance-11.pddl,0.0
lama,snake,instance-12.pddl,0.0
lama,snake,instance-13.pddl,0.0
lama,snake,instance-14.pddl,0.0
lama,snake,instance-16.pddl,0.0
lama,snake,instance-17.pddl,0.0
lama,snake,instance-18.pddl,0.0
lama,snake,instance-19.pddl,0.0
lama,visitall,instance-01.pddl,0.953
lama,visitall,instance-02.pddl,0.9482
lama,visitall,instance-03.pddl,0.9535
lama,visitall,instance-04.pddl,0.9579
lama,visitall,instance-07.pddl,0.926
lama,visitall,instance-08.pddl,0.9307
lama,visitall,instance-09.pddl,0.9239
lama,visitall,instance-11.pddl,0.9134
lama,visitall,instance-12.pddl,0.9274
lama,visitall,instance-13.pddl,0.9252
lama,visitall,instance-14.pddl,0.9137
lama,visitall,instance-16.pddl,0.9212
lama,visitall,instance-17.pddl,0.9152
lama,visitall,instance-18.pddl,0.9067
lama,visitall,instance-19.pddl,0.9137
decstar,barman,instance-01.pddl,0.0
decstar,barman,instance-02.pddl,0.0
decstar,barman,instance-03.pddl,0.9874
decstar,barman,instance-04.pddl,0.9962
decstar,barman,instance-07.pddl,0.0
decstar,barman,instance-08.pddl,0.0
decstar,barman,instance-09.pddl,0.0
decstar,barman,instance-11.pddl,0.0
decstar,barman,instance-12.pddl,0.0
decstar,barman,instance-13.pddl,0.0
decstar,barman,instance-14.pddl,0.9914
decstar,barman,instance-16.pddl,0.0
decstar,barman,instance-17.pddl,0.9747
decstar,barman,instance-18.pddl,0.0
decstar,barman,instance-19.pddl,0.0
decstar,depots,instance-01.pddl,0.9049
decstar,depots,instance-02.pddl,0.9123
decstar,depots,instance-03.pddl,0.9301
decstar,depots,instance-04.pddl,0.9507
decstar,depots,instance-07.pddl,0.9348
decstar,depots,instance-08.pddl,0.946
decstar,depots,instance-09.pddl,0.9997
decstar,depots,instance-11.pddl,0.9813
decstar,depots,instance-12.pddl,0.0
decstar,depots,instance-13.pddl,0.9447
decstar,depots,instance-14.pddl,0.9532
decstar,depots,instance-16.pddl,0.9667
decstar,depots,instance-17.pddl,0.9188
decstar,depots,instance-18.pddl,0.9771
decstar,depots,instance-19.pddl,0.9635
decstar,ricochet-robots,instance-01.pddl,0.0
decstar,ricochet-robots,instance-02.pddl,0.9803
decstar,ricochet-robots,instance-03.pddl,0.9641
decstar,ricochet-robots,instance-04.pddl,0.0
decstar,ricochet-robots,instance-07.pddl,0.9694
decstar,ricochet-robots,instance-08.pddl,0.0
decstar,ricochet-robots,instance-09.pddl,0.9694
decstar,ricochet-robots,instance-11.pddl,0.0
decstar,ricochet-robots,instance-12.pddl,0.0
decstar,ricochet-robots,instance-13.pddl,0.9798
decstar,ricochet-robots,instance-14.pddl,0.0
decstar,ricochet-robots,instance-16.pddl,0.0
decstar,ricochet-robots,instance-17.pddl,0.0
decstar,ricochet-robots,instance-18.pddl,0.0
decstar,ricochet-robots,instance-19.pddl,0.0
decstar,snake,instance-01.pddl,0.9344
decstar,snake,instance-02.pddl,0.9505
decstar,snake,instance-03.pddl,0.9434
decstar,snake,instance-04.pddl,0.0
decstar,snake,instance-07.pddl,0.0
decstar,snake,instance-08.pddl,0.0
decstar,snake,instance-09.pddl,0.0
decstar,snake,instance-11.pddl,0.0
decstar,snake,instance-12.pddl,0.0
decstar,snake,instance-13.pddl,0.0
decstar,snake,instance-14.pddl,0.0
decstar,snake,instance-16.pddl,0.0
decstar,snake,instance-17.pddl,0.0
decstar,snake,instance-18.pddl,0.0
decstar,snake,instance-19.pddl,0.0
decstar,visitall,instance-01.pddl,0.0
decstar,visitall,instance-02.pddl,0.0
decstar,visitall,instance-03.pddl,0.0
decstar,visitall,instance-04.pddl,0.0
decstar,visitall,instance-07.pddl,0.0
decstar,visitall,instance-08.pddl,0.0
decstar,visitall,instance-09.pddl,0.0
decstar,visitall,instance-11.pddl,0.0
decstar,visitall,instance-12.pddl,0.0
decstar,visitall,instance-13.pddl,0.0
decstar,visitall,instance-14.pddl,0.0
decstar,visitall,instance-16.pddl,0.0
decstar,visitall,instance-17.pddl,0.0
decstar,visitall,instance-18.pddl,0.0
decstar,visitall,instance-19.pddl,0.0
madagascar,barman,instance-01.pddl,0.0
madagascar,barman,instance-02.pddl,0.0
madagascar,barman,instance-03.pddl,0.0
madagascar,barman,instance-04.pddl,0.5199
madagascar,barman,instance-07.pddl,0.0
madagascar,barman,instance-08.pddl,0.0
madagascar,barman,instance-09.pddl,0.774
madagascar,barman,instance-11.pddl,0.8793
madagascar,barman,instance-12.pddl,0.0
madagascar,barman,instance-13.pddl,0.0
madagascar,barman,instance-14.pddl,0.0
madagascar,barman,instance-16.pddl,0.0
madagascar,barman,instance-17.pddl,0.0
madagascar,barman,instance-18.pddl,0.4062
madagascar,barman,instance-19.pddl,0.0
madagascar,depots,instance-01.pddl,0.9086
madagascar,depots,instance-02.pddl,0.887
madagascar,depots,instance-03.pddl,0.8387
madagascar,depots,instance-04.pddl,0.8904
madagascar,depots,instance-07.pddl,0.8831
madagascar,depots,instance-08.pddl,0.8942
madagascar,depots,instance-09.pddl,0.8601
madagascar,depots,instance-11.pddl,0.8657
madagascar,depots,instance-12.pddl,0.9054
madagascar,depots,instance-13.pddl,0.8902
madagascar,depots,instance-14.pddl,0.8905
madagascar,depots,instance-16.pddl,0.8857
madagascar,depots,instance-17.pddl,0.918
madagascar,depots,instance-18.pddl,0.9342
madagascar,depots,instance-19.pddl,0.8882
madagascar,ricochet-robots,instance-01.pddl,0.0
madagascar,ricochet-robots,instance-02.pddl,0.0
madagascar,ricochet-robots,instance-03.pddl,0.0
madagascar,ricochet-robots,instance-04.pddl,0.0
madagascar,ricochet-robots,instance-07.pddl,0.0
madagascar,ricochet-robots,instance-08.pddl,0.0
madagascar,ricochet-robots,instance-09.pddl,0.0
madagascar,ricochet-robots,instance-11.pddl,0.0
madagascar,ricochet-robots,instance-12.pddl,0.0
madagascar,ricochet-robots,instance-13.pddl,0.0
madagascar,ricochet-robots,instance-14.pddl,0.0
madagascar,ricochet-robots,instance-16.pddl,0.0
madagascar,ricochet-robots,instance-17.pddl,0.0
madagascar,ricochet-robots,instance-18.pddl,0.0
madagascar,ricochet-robots,instance-19.pddl,0.0
madagascar,snake,instance-01.pddl,0.9184
madagascar,snake,instance-02.pddl,0.7898
madagascar,snake,instance-03.pddl,0.5378
madagascar,snake,instance-04.pddl,0.0
madagascar,snake,instance-07.pddl,0.8126
madagascar,snake,instance-08.pddl,1.0
madagascar,snake,instance-09.pddl,0.0
madagascar,snake,instance-11.pddl,0.7801
madagascar,snake,instance-12.pddl,0.0
madagascar,snake,instance-13.pddl,0.0
madagascar,snake,instance-14.pddl,0.0
madagascar,snake,instance-16.pddl,0.0
madagascar,snake,instance-17.pddl,0.0
madagascar,snake,instance-18.pddl,0.0
madagascar,snake,instance-19.pddl,0.0
madagascar,visitall,instance-01.pddl,0.0
madagascar,visitall,instance-02.pddl,0.0
madagascar,visitall,instance-03.pddl,0.0
madagascar,visitall,instance-04.pddl,0.0
madagascar,visitall,instance-07.pddl,0.0
madagascar,visitall,instance-08.pddl,0.0
madagascar,visitall,instance-09.pddl,0.0
madagascar,visitall,instance-11.pddl,0.0
madagascar,visitall,instance-12.pddl,0.0
madagascar,visitall,instance-13.pddl,0.0
madagascar,visitall,instance-14.pddl,0.0
madagascar,visitall,instance-16.pddl,0.0
madagascar,visitall,instance-17.pddl,0.0
madagascar,visitall,instance-18.pddl,0.0
madagascar,visitall,instance-19.pddl,0.0
