Planner,Domain,Instance,IPC Score,Stage,Prompt ID
bfws,barman,instance-01.pddl,0.9732,Cross_Test,1.0
bfws,barman,instance-02.pddl,1.0,Arch_Aware,3.0
bfws,barman,instance-03.pddl,0.9626,Cross_Test,1.0
bfws,barman,instance-04.pddl,1.0,Cross_Test,2.0
bfws,barman,instance-07.pddl,0.9715,Arch_Aware,3.0
bfws,barman,instance-08.pddl,0.9631,Arch_Aware,3.0
bfws,barman,instance-09.pddl,0.9786,Arch_Aware,3.0
bfws,barman,instance-11.pddl,0.9945,Cross_Test,2.0
bfws,barman,instance-12.pddl,0.9732,Cross_Test,1.0
bfws,barman,instance-13.pddl,1.0,Cross_Test,2.0
bfws,barman,instance-14.pddl,0.983,Cross_Test,1.0
bfws,barman,instance-16.pddl,0.997,Cross_Test,1.0
bfws,barman,instance-17.pddl,0.9863,Cross_Test,1.0
bfws,barman,instance-18.pddl,0.9709,Arch_Aware,3.0
bfws,barman,instance-19.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-01.pddl,0.9851,Cross_Test,2.0
bfws,depots,instance-02.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-03.pddl,0.9776,Cross_Test,2.0
bfws,depots,instance-04.pddl,1.0,Arch_Aware,3.0
bfws,depots,instance-07.pddl,0.9876,Cross_Test,2.0
bfws,depots,instance-08.pddl,1.0,Arch_Aware,3.0
bfws,depots,instance-09.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-11.pddl,0.5605,Cross_Test,2.0
bfws,depots,instance-12.pddl,0.984,Arch_Aware,3.0
bfws,depots,instance-13.pddl,1.0,Arch_Aware,3.0
bfws,depots,instance-14.pddl,0.9846,Arch_Aware,3.0
bfws,depots,instance-16.pddl,0.9956,Cross_Test,2.0
bfws,depots,instance-17.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-18.pddl,0.985,Arch_Aware,3.0
bfws,depots,instance-19.pddl,0.9774,Cross_Test,2.0
bfws,ricochet-robots,instance-01.pddl,0.8556,Arch_Aware,3.0
bfws,ricochet-robots,instance-02.pddl,0.9463,Arch_Aware,3.0
bfws,ricochet-robots,instance-03.pddl,0.9377,Arch_Aware,3.0
bfws,ricochet-robots,instance-04.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-07.pddl,0.8839,Cross_Test,1.0
bfws,ricochet-robots,instance-08.pddl,0.9243,Cross_Test,1.0
bfws,ricochet-robots,instance-09.pddl,0.9258,Cross_Test,1.0
bfws,ricochet-robots,instance-11.pddl,0.9519,Cross_Test,1.0
bfws,ricochet-robots,instance-12.pddl,0.9088,Cross_Test,1.0
bfws,ricochet-robots,instance-13.pddl,0.9457,Cross_Test,1.0
bfws,ricochet-robots,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-16.pddl,1.0,Cross_Test,1.0
bfws,ricochet-robots,instance-17.pddl,1.0,Cross_Test,1.0
bfws,ricochet-robots,instance-18.pddl,0.9966,Cross_Test,1.0
bfws,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-01.pddl,0.9779,Cross_Test,4.0
bfws,snake,instance-02.pddl,0.9905,Cross_Test,4.0
bfws,snake,instance-03.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-04.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-07.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-08.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-09.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-11.pddl,1.0,Cross_Test,4.0
bfws,snake,instance-12.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-13.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-16.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-17.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-18.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,visitall,instance-01.pddl,0.9473,Cross_Test,1.0
bfws,visitall,instance-02.pddl,0.986,Arch_Aware,3.0
bfws,visitall,instance-03.pddl,0.9805,Arch_Aware,3.0
bfws,visitall,instance-04.pddl,0.9926,Arch_Aware,3.0
bfws,visitall,instance-07.pddl,1.0,Arch_Aware,3.0
bfws,visitall,instance-08.pddl,0.9895,Arch_Aware,3.0
bfws,visitall,instance-09.pddl,0.9907,Arch_Aware,3.0
bfws,visitall,instance-11.pddl,0.9003,Arch_Aware,3.0
bfws,visitall,instance-12.pddl,0.9562,Arch_Aware,3.0
bfws,visitall,instance-13.pddl,0.9255,Arch_Aware,3.0
bfws,visitall,instance-14.pddl,0.9529,Arch_Aware,3.0
bfws,visitall,instance-16.pddl,0.9675,Arch_Aware,3.0
bfws,visitall,instance-17.pddl,0.88,Arch_Aware,3.0
bfws,visitall,instance-18.pddl,0.9498,Arch_Aware,3.0
bfws,visitall,instance-19.pddl,0.9665,Arch_Aware,3.0
lama,barman,instance-01.pddl,0.9639,Arch_Aware,1.0
lama,barman,instance-02.pddl,0.9822,Cross_Test,2.0
lama,barman,instance-03.pddl,0.9836,Cross_Test,3.0
lama,barman,instance-04.pddl,0.9803,Arch_Aware,1.0
lama,barman,instance-07.pddl,0.9673,Cross_Test,3.0
lama,barman,instance-08.pddl,0.9607,Cross_Test,2.0
lama,barman,instance-09.pddl,0.9819,Cross_Test,2.0
lama,barman,instance-11.pddl,0.9844,Arch_Aware,1.0
lama,barman,instance-12.pddl,0.9835,Arch_Aware,1.0
lama,barman,instance-13.pddl,0.9819,Arch_Aware,1.0
lama,barman,instance-14.pddl,0.9758,Cross_Test,3.0
lama,barman,instance-16.pddl,0.9862,Arch_Aware,1.0
lama,barman,instance-17.pddl,0.9902,Arch_Aware,1.0
lama,barman,instance-18.pddl,0.9776,Arch_Aware,1.0
lama,barman,instance-19.pddl,0.983,Arch_Aware,1.0
lama,depots,instance-01.pddl,0.9869,Cross_Test,3.0
lama,depots,instance-02.pddl,0.9852,Arch_Aware,1.0
lama,depots,instance-03.pddl,0.9624,Cross_Test,3.0
lama,depots,instance-04.pddl,0.992,Cross_Test,3.0
lama,depots,instance-07.pddl,0.9705,Arch_Aware,1.0
lama,depots,instance-08.pddl,0.9884,Cross_Test,3.0
lama,depots,instance-09.pddl,0.9833,Cross_Test,3.0
lama,depots,instance-11.pddl,0.9886,Arch_Aware,1.0
lama,depots,instance-12.pddl,0.9874,Cross_Test,3.0
lama,depots,instance-13.pddl,0.999,Arch_Aware,1.0
lama,depots,instance-14.pddl,0.986,Arch_Aware,1.0
lama,depots,instance-16.pddl,0.9839,Arch_Aware,1.0
lama,depots,instance-17.pddl,0.9789,Arch_Aware,1.0
lama,depots,instance-18.pddl,1.0,Cross_Test,2.0
lama,depots,instance-19.pddl,0.9915,Cross_Test,4.0
lama,ricochet-robots,instance-01.pddl,0.9809,Arch_Aware,1.0
lama,ricochet-robots,instance-02.pddl,0.98,Arch_Aware,1.0
lama,ricochet-robots,instance-03.pddl,0.9822,Arch_Aware,1.0
lama,ricochet-robots,instance-04.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-07.pddl,0.9825,Arch_Aware,1.0
lama,ricochet-robots,instance-08.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-09.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-11.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-12.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-13.pddl,0.9847,Arch_Aware,1.0
lama,ricochet-robots,instance-14.pddl,0.9834,Arch_Aware,1.0
lama,ricochet-robots,instance-16.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-17.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-18.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-01.pddl,0.9897,Cross_Test,4.0
lama,snake,instance-02.pddl,0.996,Cross_Test,4.0
lama,snake,instance-03.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-04.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-07.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-08.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-09.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-11.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-12.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-13.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-14.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-16.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-17.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-18.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-19.pddl,0.0,Arch_Aware,1.0
lama,visitall,instance-01.pddl,0.9746,Arch_Aware,1.0
lama,visitall,instance-02.pddl,0.9591,Arch_Aware,1.0
lama,visitall,instance-03.pddl,0.9705,Arch_Aware,1.0
lama,visitall,instance-04.pddl,0.9657,Arch_Aware,1.0
lama,visitall,instance-07.pddl,0.9228,Arch_Aware,1.0
lama,visitall,instance-08.pddl,0.9307,Arch_Aware,1.0
lama,visitall,instance-09.pddl,0.9394,Arch_Aware,1.0
lama,visitall,instance-11.pddl,0.923,Arch_Aware,1.0
lama,visitall,instance-12.pddl,0.9096,Arch_Aware,1.0
lama,visitall,instance-13.pddl,0.9098,Arch_Aware,1.0
lama,visitall,instance-14.pddl,0.9182,Arch_Aware,1.0
lama,visitall,instance-16.pddl,0.9228,Arch_Aware,1.0
lama,visitall,instance-17.pddl,0.921,Arch_Aware,1.0
lama,visitall,instance-18.pddl,0.9291,Arch_Aware,1.0
lama,visitall,instance-19.pddl,0.9052,Arch_Aware,1.0
decstar,barman,instance-01.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-02.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-03.pddl,1.0,Arch_Aware,2.0
decstar,barman,instance-04.pddl,0.9995,Arch_Aware,2.0
decstar,barman,instance-07.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-08.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-09.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-11.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-12.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-13.pddl,0.0,Arch_Aware,2.0
