Planner,Domain,Instance,IPC Score,Stage,Prompt ID,Iteration
bfws,barman,instance-01.pddl,0.9735,Feedback_Loop3,3.3,3
bfws,barman,instance-02.pddl,0.9871,Feedback_Loop3,3.3,3
bfws,barman,instance-03.pddl,0.959,Feedback_Loop1,3.1,1
bfws,barman,instance-04.pddl,0.7657,Feedback_Loop3,3.3,3
bfws,barman,instance-07.pddl,0.993,Feedback_Loop3,3.3,3
bfws,barman,instance-08.pddl,0.9643,Feedback_Loop2,3.2,2
bfws,barman,instance-09.pddl,0.9909,Feedback_Loop3,3.3,3
bfws,barman,instance-11.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-12.pddl,0.9755,Feedback_Loop1,3.1,1
bfws,barman,instance-13.pddl,0.904,Feedback_Loop1,3.1,1
bfws,barman,instance-14.pddl,0.6419,Feedback_Loop1,3.1,1
bfws,barman,instance-16.pddl,0.9728,Feedback_Loop2,3.2,2
bfws,barman,instance-17.pddl,0.9957,Feedback_Loop3,3.3,3
bfws,barman,instance-18.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-19.pddl,0.6252,Feedback_Loop2,3.2,2
bfws,depots,instance-01.pddl,0.9915,Feedback_Loop1,3.1,1
bfws,depots,instance-02.pddl,0.9771,Feedback_Loop1,3.1,1
bfws,depots,instance-03.pddl,1.0,Feedback_Loop1,3.1,1
bfws,depots,instance-04.pddl,0.9981,Feedback_Loop1,3.1,1
bfws,depots,instance-07.pddl,0.9688,Feedback_Loop3,3.3,3
bfws,depots,instance-08.pddl,0.9647,Feedback_Loop3,3.3,3
bfws,depots,instance-09.pddl,0.9893,Feedback_Loop1,3.1,1
bfws,depots,instance-11.pddl,0.5571,Feedback_Loop1,3.1,1
bfws,depots,instance-12.pddl,0.9948,Feedback_Loop3,3.3,3
bfws,depots,instance-13.pddl,0.9673,Feedback_Loop2,3.2,2
bfws,depots,instance-14.pddl,0.9744,Feedback_Loop3,3.3,3
bfws,depots,instance-16.pddl,0.9692,Feedback_Loop3,3.3,3
bfws,depots,instance-17.pddl,0.9457,Feedback_Loop1,3.1,1
bfws,depots,instance-18.pddl,0.9948,Feedback_Loop2,3.2,2
bfws,depots,instance-19.pddl,0.5536,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-01.pddl,0.8974,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-02.pddl,0.9909,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-03.pddl,0.9845,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-04.pddl,0.9173,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-07.pddl,0.92,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-08.pddl,0.9205,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-09.pddl,0.9016,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-11.pddl,0.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-12.pddl,0.9306,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-13.pddl,0.9249,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-14.pddl,0.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-16.pddl,0.952,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-17.pddl,0.8794,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-18.pddl,0.8244,Feedback_Loop2,3.2,2
bfws,ricochet-robots,instance-19.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-01.pddl,0.9839,Feedback_Loop2,3.2,2
bfws,snake,instance-02.pddl,0.9349,Feedback_Loop3,3.3,3
bfws,snake,instance-03.pddl,0.9403,Feedback_Loop3,3.3,3
bfws,snake,instance-04.pddl,0.9413,Feedback_Loop1,3.1,1
bfws,snake,instance-07.pddl,0.9497,Feedback_Loop2,3.2,2
bfws,snake,instance-08.pddl,0.9791,Feedback_Loop3,3.3,3
bfws,snake,instance-09.pddl,0.9488,Feedback_Loop1,3.1,1
bfws,snake,instance-11.pddl,0.977,Feedback_Loop2,3.2,2
bfws,snake,instance-12.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-13.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-14.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-16.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-17.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-18.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-19.pddl,0.0,Feedback_Loop1,3.1,1
bfws,visitall,instance-01.pddl,0.9855,Feedback_Loop1,3.1,1
bfws,visitall,instance-02.pddl,0.9869,Feedback_Loop3,3.3,3
