Planner,Domain,Instance,IPC Score
bfws,barman,instance-01.pddl,N/A
bfws,barman,instance-02.pddl,N/A
bfws,barman,instance-03.pddl,N/A
bfws,barman,instance-04.pddl,N/A
bfws,barman,instance-07.pddl,N/A
bfws,barman,instance-08.pddl,N/A
bfws,barman,instance-09.pddl,N/A
bfws,barman,instance-11.pddl,N/A
bfws,barman,instance-12.pddl,N/A
bfws,barman,instance-13.pddl,N/A
bfws,barman,instance-14.pddl,N/A
bfws,barman,instance-16.pddl,N/A
bfws,barman,instance-17.pddl,N/A
bfws,barman,instance-18.pddl,N/A
bfws,barman,instance-19.pddl,N/A
bfws,depots,instance-01.pddl,0.8875
bfws,depots,instance-02.pddl,0.8685
bfws,depots,instance-03.pddl,0.8741
bfws,depots,instance-04.pddl,0.8927
bfws,depots,instance-07.pddl,0.8855
bfws,depots,instance-08.pddl,0.8954
bfws,depots,instance-09.pddl,0.881
bfws,depots,instance-11.pddl,0.536
bfws,depots,instance-12.pddl,0.9189
bfws,depots,instance-13.pddl,0.8979
bfws,depots,instance-14.pddl,0.881
bfws,depots,instance-16.pddl,0.9035
bfws,depots,instance-17.pddl,0.8645
bfws,depots,instance-18.pddl,0.932
bfws,depots,instance-19.pddl,0.5309
bfws,ricochet-robots,instance-01.pddl,N/A
bfws,ricochet-robots,instance-02.pddl,N/A
bfws,ricochet-robots,instance-03.pddl,N/A
bfws,ricochet-robots,instance-04.pddl,N/A
bfws,ricochet-robots,instance-07.pddl,N/A
bfws,ricochet-robots,instance-08.pddl,N/A
bfws,ricochet-robots,instance-09.pddl,N/A
bfws,ricochet-robots,instance-11.pddl,N/A
bfws,ricochet-robots,instance-12.pddl,N/A
bfws,ricochet-robots,instance-13.pddl,N/A
bfws,ricochet-robots,instance-14.pddl,N/A
bfws,ricochet-robots,instance-16.pddl,N/A
bfws,ricochet-robots,instance-17.pddl,N/A
bfws,ricochet-robots,instance-18.pddl,N/A
bfws,ricochet-robots,instance-19.pddl,N/A
bfws,snake,instance-01.pddl,0.9674
bfws,snake,instance-02.pddl,0.9871
bfws,snake,instance-03.pddl,0.9736
bfws,snake,instance-04.pddl,0.9871
bfws,snake,instance-07.pddl,0.9805
bfws,snake,instance-08.pddl,0.9852
bfws,snake,instance-09.pddl,0.9846
bfws,snake,instance-11.pddl,0.9916
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.8927
bfws,visitall,instance-02.pddl,0.9435
bfws,visitall,instance-03.pddl,0.9525
bfws,visitall,instance-04.pddl,0.94
bfws,visitall,instance-07.pddl,0.9399
bfws,visitall,instance-08.pddl,0.9245
bfws,visitall,instance-09.pddl,0.9153
