Planner,Domain,Instance,IPC Score,Stage,Prompt ID
bfws,barman,instance-01.pddl,0.9755,Arch_Aware,3.0
bfws,barman,instance-02.pddl,0.964,Arch_Aware,3.0
bfws,barman,instance-03.pddl,0.9366,Arch_Aware,3.0
bfws,barman,instance-04.pddl,0.7776,Arch_Aware,3.0
bfws,barman,instance-07.pddl,0.9766,Cross_Test,1.0
bfws,barman,instance-08.pddl,0.9913,Cross_Test,1.0
bfws,barman,instance-09.pddl,0.9777,Cross_Test,1.0
bfws,barman,instance-11.pddl,0.9759,Cross_Test,1.0
bfws,barman,instance-12.pddl,0.9858,Cross_Test,1.0
bfws,barman,instance-13.pddl,0.921,Cross_Test,1.0
bfws,barman,instance-14.pddl,0.6426,Cross_Test,1.0
bfws,barman,instance-16.pddl,0.9888,Cross_Test,1.0
bfws,barman,instance-17.pddl,0.99,Cross_Test,1.0
bfws,barman,instance-18.pddl,0.9489,Cross_Test,1.0
bfws,barman,instance-19.pddl,0.6382,Cross_Test,1.0
bfws,depots,instance-01.pddl,0.9994,Arch_Aware,3.0
bfws,depots,instance-02.pddl,0.9958,Cross_Test,4.0
bfws,depots,instance-03.pddl,0.9856,Arch_Aware,3.0
bfws,depots,instance-04.pddl,0.9963,Cross_Test,2.0
bfws,depots,instance-07.pddl,1.0,Arch_Aware,3.0
bfws,depots,instance-08.pddl,0.9981,Arch_Aware,3.0
bfws,depots,instance-09.pddl,0.9922,Cross_Test,2.0
bfws,depots,instance-11.pddl,0.9633,Arch_Aware,3.0
bfws,depots,instance-12.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-13.pddl,0.9813,Cross_Test,2.0
bfws,depots,instance-14.pddl,0.9878,Cross_Test,2.0
bfws,depots,instance-16.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-17.pddl,0.9746,Cross_Test,2.0
bfws,depots,instance-18.pddl,1.0,Cross_Test,2.0
bfws,depots,instance-19.pddl,1.0,Cross_Test,2.0
bfws,ricochet-robots,instance-01.pddl,0.9202,Cross_Test,1.0
bfws,ricochet-robots,instance-02.pddl,0.9964,Cross_Test,1.0
bfws,ricochet-robots,instance-03.pddl,0.9971,Cross_Test,1.0
bfws,ricochet-robots,instance-04.pddl,0.9472,Cross_Test,1.0
bfws,ricochet-robots,instance-07.pddl,0.9331,Cross_Test,1.0
bfws,ricochet-robots,instance-08.pddl,0.9802,Cross_Test,1.0
bfws,ricochet-robots,instance-09.pddl,0.9226,Cross_Test,1.0
bfws,ricochet-robots,instance-11.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-12.pddl,0.9585,Arch_Aware,3.0
bfws,ricochet-robots,instance-13.pddl,0.9739,Arch_Aware,3.0
bfws,ricochet-robots,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-16.pddl,0.9516,Cross_Test,1.0
bfws,ricochet-robots,instance-17.pddl,0.9926,Arch_Aware,3.0
bfws,ricochet-robots,instance-18.pddl,1.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-01.pddl,0.9701,Cross_Test,1.0
bfws,snake,instance-02.pddl,0.8927,Cross_Test,1.0
bfws,snake,instance-03.pddl,0.915,Cross_Test,1.0
bfws,snake,instance-04.pddl,0.9208,Cross_Test,1.0
bfws,snake,instance-07.pddl,0.9615,Cross_Test,1.0
bfws,snake,instance-08.pddl,0.9835,Cross_Test,1.0
bfws,snake,instance-09.pddl,0.9575,Cross_Test,1.0
bfws,snake,instance-11.pddl,0.9414,Cross_Test,1.0
bfws,snake,instance-12.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-13.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-16.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-17.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-18.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,visitall,instance-01.pddl,0.958,Arch_Aware,3.0
bfws,visitall,instance-02.pddl,0.9655,Arch_Aware,3.0
bfws,visitall,instance-03.pddl,0.9522,Arch_Aware,3.0
bfws,visitall,instance-04.pddl,0.942,Arch_Aware,3.0
bfws,visitall,instance-07.pddl,0.8575,Arch_Aware,3.0
bfws,visitall,instance-08.pddl,0.8386,Arch_Aware,3.0
bfws,visitall,instance-09.pddl,0.8348,Arch_Aware,3.0
bfws,visitall,instance-11.pddl,0.8358,Cross_Test,1.0
bfws,visitall,instance-12.pddl,0.8282,Arch_Aware,3.0
bfws,visitall,instance-13.pddl,0.8458,Arch_Aware,3.0
bfws,visitall,instance-14.pddl,0.8466,Arch_Aware,3.0
bfws,visitall,instance-16.pddl,0.8356,Arch_Aware,3.0
bfws,visitall,instance-17.pddl,0.7985,Arch_Aware,3.0
bfws,visitall,instance-18.pddl,0.8348,Arch_Aware,3.0
bfws,visitall,instance-19.pddl,0.8316,Arch_Aware,3.0
lama,barman,instance-01.pddl,0.9718,Arch_Aware,1.0
lama,barman,instance-02.pddl,0.9919,Arch_Aware,1.0
lama,barman,instance-03.pddl,0.998,Arch_Aware,1.0
lama,barman,instance-04.pddl,0.9954,Arch_Aware,1.0
lama,barman,instance-07.pddl,0.9785,Arch_Aware,1.0
lama,barman,instance-08.pddl,0.9835,Arch_Aware,1.0
lama,barman,instance-09.pddl,0.9996,Arch_Aware,1.0
lama,barman,instance-11.pddl,0.9956,Arch_Aware,1.0
lama,barman,instance-12.pddl,0.9932,Arch_Aware,1.0
lama,barman,instance-13.pddl,1.0,Arch_Aware,1.0
lama,barman,instance-14.pddl,0.9912,Arch_Aware,1.0
lama,barman,instance-16.pddl,1.0,Arch_Aware,1.0
lama,barman,instance-17.pddl,0.9994,Arch_Aware,1.0
lama,barman,instance-18.pddl,1.0,Arch_Aware,1.0
lama,barman,instance-19.pddl,0.9961,Arch_Aware,1.0
lama,depots,instance-01.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-02.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-03.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-04.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-07.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-08.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-09.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-11.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-12.pddl,0.9992,Arch_Aware,1.0
lama,depots,instance-13.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-14.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-16.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-17.pddl,1.0,Arch_Aware,1.0
lama,depots,instance-18.pddl,0.7245,Arch_Aware,1.0
lama,depots,instance-19.pddl,1.0,Arch_Aware,1.0
lama,ricochet-robots,instance-01.pddl,0.9907,Arch_Aware,1.0
lama,ricochet-robots,instance-02.pddl,0.9883,Arch_Aware,1.0
lama,ricochet-robots,instance-03.pddl,0.9855,Arch_Aware,1.0
lama,ricochet-robots,instance-04.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-07.pddl,0.9838,Arch_Aware,1.0
lama,ricochet-robots,instance-08.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-09.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-11.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-12.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-13.pddl,0.9942,Arch_Aware,1.0
lama,ricochet-robots,instance-14.pddl,0.9937,Arch_Aware,1.0
lama,ricochet-robots,instance-16.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-17.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-18.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-01.pddl,0.9828,Arch_Aware,1.0
lama,snake,instance-02.pddl,0.9732,Cross_Test,2.0
lama,snake,instance-03.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-04.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-07.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-08.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-09.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-11.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-12.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-13.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-14.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-16.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-17.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-18.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-19.pddl,0.0,Arch_Aware,1.0
lama,visitall,instance-01.pddl,0.9693,Arch_Aware,1.0
lama,visitall,instance-02.pddl,0.9672,Arch_Aware,1.0
lama,visitall,instance-03.pddl,0.9659,Arch_Aware,1.0
lama,visitall,instance-04.pddl,0.963,Arch_Aware,1.0
lama,visitall,instance-07.pddl,0.9309,Arch_Aware,1.0
lama,visitall,instance-08.pddl,0.9136,Arch_Aware,1.0
lama,visitall,instance-09.pddl,0.9449,Arch_Aware,1.0
lama,visitall,instance-11.pddl,0.9228,Arch_Aware,1.0
lama,visitall,instance-12.pddl,0.9227,Arch_Aware,1.0
lama,visitall,instance-13.pddl,0.931,Arch_Aware,1.0
lama,visitall,instance-14.pddl,0.923,Arch_Aware,1.0
lama,visitall,instance-16.pddl,0.9117,Arch_Aware,1.0
lama,visitall,instance-17.pddl,0.9126,Arch_Aware,1.0
lama,visitall,instance-18.pddl,0.9237,Arch_Aware,1.0
lama,visitall,instance-19.pddl,0.9021,Arch_Aware,1.0
decstar,barman,instance-01.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-02.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-03.pddl,0.999,Arch_Aware,2.0
decstar,barman,instance-04.pddl,0.9998,Cross_Test,3.0
decstar,barman,instance-07.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-08.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-09.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-11.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-12.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-13.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-14.pddl,0.9946,Arch_Aware,2.0
decstar,barman,instance-16.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-17.pddl,0.9917,Cross_Test,1.0
decstar,barman,instance-18.pddl,0.0,Arch_Aware,2.0
decstar,barman,instance-19.pddl,0.0,Arch_Aware,2.0
decstar,depots,instance-01.pddl,0.9784,Arch_Aware,2.0
decstar,depots,instance-02.pddl,0.9804,Arch_Aware,2.0
decstar,depots,instance-03.pddl,0.9844,Cross_Test,1.0
decstar,depots,instance-04.pddl,0.9733,Cross_Test,4.0
decstar,depots,instance-07.pddl,0.984,Arch_Aware,2.0
decstar,depots,instance-08.pddl,0.9935,Arch_Aware,2.0
decstar,depots,instance-09.pddl,1.0,Cross_Test,4.0
decstar,depots,instance-11.pddl,0.9927,Cross_Test,1.0
decstar,depots,instance-12.pddl,0.0,Arch_Aware,2.0
decstar,depots,instance-13.pddl,1.0,Arch_Aware,2.0
decstar,depots,instance-14.pddl,0.9942,Arch_Aware,2.0
decstar,depots,instance-16.pddl,0.9987,Cross_Test,3.0
decstar,depots,instance-17.pddl,0.9787,Cross_Test,4.0
decstar,depots,instance-18.pddl,0.997,Cross_Test,3.0
decstar,depots,instance-19.pddl,0.9942,Cross_Test,3.0
decstar,ricochet-robots,instance-01.pddl,0.0,Arch_Aware,2.0
