Planner,Domain,Instance,IPC Score,Stage,Prompt ID,Iteration
bfws,barman,instance-01.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-02.pddl,0.9895,Feedback_Loop1,3.1,1
bfws,barman,instance-03.pddl,0.9615,Feedback_Loop1,3.1,1
bfws,barman,instance-04.pddl,0.7986,Feedback_Loop1,3.1,1
bfws,barman,instance-07.pddl,0.9963,Feedback_Loop1,3.1,1
bfws,barman,instance-08.pddl,1.0,Feedback_Loop2,3.2,2
bfws,barman,instance-09.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-11.pddl,0.9943,Feedback_Loop2,3.2,2
bfws,barman,instance-12.pddl,0.9996,Feedback_Loop1,3.1,1
bfws,barman,instance-13.pddl,0.9369,Feedback_Loop1,3.1,1
bfws,barman,instance-14.pddl,0.6478,Feedback_Loop1,3.1,1
bfws,barman,instance-16.pddl,1.0,Feedback_Loop2,3.2,2
bfws,barman,instance-17.pddl,0.9963,Feedback_Loop2,3.2,2
bfws,barman,instance-18.pddl,0.9536,Feedback_Loop3,3.3,3
bfws,barman,instance-19.pddl,0.6335,Feedback_Loop2,3.2,2
bfws,depots,instance-01.pddl,0.9872,Feedback_Loop1,3.1,1
bfws,depots,instance-02.pddl,0.9387,Feedback_Loop3,3.3,3
bfws,depots,instance-03.pddl,0.9526,Feedback_Loop3,3.3,3
bfws,depots,instance-04.pddl,0.9647,Feedback_Loop2,3.2,2
bfws,depots,instance-07.pddl,0.9219,Feedback_Loop2,3.2,2
bfws,depots,instance-08.pddl,0.9714,Feedback_Loop1,3.1,1
bfws,depots,instance-09.pddl,0.9472,Feedback_Loop2,3.2,2
bfws,depots,instance-11.pddl,0.9984,Feedback_Loop3,3.3,3
bfws,depots,instance-12.pddl,0.9715,Feedback_Loop1,3.1,1
bfws,depots,instance-13.pddl,0.9666,Feedback_Loop1,3.1,1
bfws,depots,instance-14.pddl,0.9445,Feedback_Loop2,3.2,2
bfws,depots,instance-16.pddl,0.9393,Feedback_Loop2,3.2,2
bfws,depots,instance-17.pddl,0.9199,Feedback_Loop1,3.1,1
bfws,depots,instance-18.pddl,0.9476,Feedback_Loop1,3.1,1
bfws,depots,instance-19.pddl,0.557,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-01.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-02.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-03.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-04.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-07.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-08.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-09.pddl,N/A,N/A,N/A,N/A
bfws,ricochet-robots,instance-11.pddl,N/A,N/A,N/A,N/A
