Planner,Domain,Instance,IPC Score
bfws,barman,instance-01.pddl,0.9771
bfws,barman,instance-02.pddl,0.9973
bfws,barman,instance-03.pddl,0.9638
bfws,barman,instance-04.pddl,0.7746
bfws,barman,instance-07.pddl,1.0
bfws,barman,instance-08.pddl,0.9664
bfws,barman,instance-09.pddl,0.9799
bfws,barman,instance-11.pddl,0.9992
bfws,barman,instance-12.pddl,0.9748
bfws,barman,instance-13.pddl,0.9226
bfws,barman,instance-14.pddl,0.6416
bfws,barman,instance-16.pddl,0.9706
bfws,barman,instance-17.pddl,0.9792
bfws,barman,instance-18.pddl,0.9844
bfws,barman,instance-19.pddl,0.6248
bfws,depots,instance-01.pddl,0.9069
bfws,depots,instance-02.pddl,0.8948
bfws,depots,instance-03.pddl,0.9011
bfws,depots,instance-04.pddl,0.9033
bfws,depots,instance-07.pddl,0.8793
bfws,depots,instance-08.pddl,0.9064
bfws,depots,instance-09.pddl,0.9292
bfws,depots,instance-11.pddl,0.5365
bfws,depots,instance-12.pddl,0.9533
bfws,depots,instance-13.pddl,0.9115
bfws,depots,instance-14.pddl,0.9271
bfws,depots,instance-16.pddl,0.897
bfws,depots,instance-17.pddl,0.875
bfws,depots,instance-18.pddl,0.9469
bfws,depots,instance-19.pddl,0.5472
bfws,ricochet-robots,instance-01.pddl,0.8547
bfws,ricochet-robots,instance-02.pddl,0.9547
bfws,ricochet-robots,instance-03.pddl,0.9291
bfws,ricochet-robots,instance-04.pddl,0.0
bfws,ricochet-robots,instance-07.pddl,0.8612
bfws,ricochet-robots,instance-08.pddl,0.8845
bfws,ricochet-robots,instance-09.pddl,0.8747
bfws,ricochet-robots,instance-11.pddl,0.0
bfws,ricochet-robots,instance-12.pddl,0.9122
bfws,ricochet-robots,instance-13.pddl,0.9242
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.9305
bfws,ricochet-robots,instance-17.pddl,0.0
bfws,ricochet-robots,instance-18.pddl,0.0
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9591
bfws,snake,instance-02.pddl,0.9336
bfws,snake,instance-03.pddl,0.9535
bfws,snake,instance-04.pddl,0.9596
bfws,snake,instance-07.pddl,0.9846
bfws,snake,instance-08.pddl,0.9641
bfws,snake,instance-09.pddl,0.975
bfws,snake,instance-11.pddl,0.9687
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.8542
bfws,visitall,instance-02.pddl,0.9125
bfws,visitall,instance-03.pddl,0.8991
bfws,visitall,instance-04.pddl,0.952
bfws,visitall,instance-07.pddl,0.9898
bfws,visitall,instance-08.pddl,0.9864
bfws,visitall,instance-09.pddl,1.0
bfws,visitall,instance-11.pddl,0.8906
bfws,visitall,instance-12.pddl,0.954
bfws,visitall,instance-13.pddl,0.8949
bfws,visitall,instance-14.pddl,0.9551
bfws,visitall,instance-16.pddl,0.9941
bfws,visitall,instance-17.pddl,0.8797
bfws,visitall,instance-18.pddl,0.9567
bfws,visitall,instance-19.pddl,0.9314
lama,barman,instance-01.pddl,0.9244
lama,barman,instance-02.pddl,0.9326
lama,barman,instance-03.pddl,0.9417
lama,barman,instance-04.pddl,0.9703
lama,barman,instance-07.pddl,0.9248
lama,barman,instance-08.pddl,0.9439
lama,barman,instance-09.pddl,0.9545
lama,barman,instance-11.pddl,0.9473
