Planner,Domain,Instance,IPC Score,Stage,Prompt ID
bfws,barman,instance-01.pddl,0.9919,Arch_Aware,3.0
bfws,barman,instance-02.pddl,0.9796,Arch_Aware,3.0
bfws,barman,instance-03.pddl,0.9492,Arch_Aware,3.0
bfws,barman,instance-04.pddl,0.7911,Arch_Aware,3.0
bfws,barman,instance-07.pddl,0.9829,Arch_Aware,3.0
bfws,barman,instance-08.pddl,0.9826,Arch_Aware,3.0
bfws,barman,instance-09.pddl,0.9778,Arch_Aware,3.0
bfws,barman,instance-11.pddl,0.9894,Arch_Aware,3.0
bfws,barman,instance-12.pddl,0.9913,Arch_Aware,3.0
bfws,barman,instance-13.pddl,0.9212,Arch_Aware,3.0
bfws,barman,instance-14.pddl,0.6433,Arch_Aware,3.0
bfws,barman,instance-16.pddl,0.9975,Arch_Aware,3.0
bfws,barman,instance-17.pddl,0.9877,Arch_Aware,3.0
bfws,barman,instance-18.pddl,0.9455,Arch_Aware,3.0
bfws,barman,instance-19.pddl,0.6282,Arch_Aware,3.0
bfws,depots,instance-01.pddl,0.9796,Cross_Test,2.0
bfws,depots,instance-02.pddl,0.9946,Cross_Test,4.0
bfws,depots,instance-03.pddl,0.9619,Cross_Test,4.0
bfws,depots,instance-04.pddl,0.9923,Cross_Test,1.0
bfws,depots,instance-07.pddl,0.9925,Cross_Test,2.0
bfws,depots,instance-08.pddl,0.999,Cross_Test,2.0
bfws,depots,instance-09.pddl,0.424,Cross_Test,2.0
bfws,depots,instance-11.pddl,0.9596,Cross_Test,2.0
bfws,depots,instance-12.pddl,0.9839,Cross_Test,2.0
bfws,depots,instance-13.pddl,0.9711,Cross_Test,1.0
bfws,depots,instance-14.pddl,0.9847,Cross_Test,2.0
bfws,depots,instance-16.pddl,0.9758,Cross_Test,4.0
bfws,depots,instance-17.pddl,0.9655,Cross_Test,2.0
bfws,depots,instance-18.pddl,0.9837,Cross_Test,2.0
bfws,depots,instance-19.pddl,0.5667,Cross_Test,2.0
bfws,ricochet-robots,instance-01.pddl,0.9013,Arch_Aware,3.0
bfws,ricochet-robots,instance-02.pddl,0.9583,Arch_Aware,3.0
bfws,ricochet-robots,instance-03.pddl,0.9663,Arch_Aware,3.0
bfws,ricochet-robots,instance-04.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-07.pddl,0.8999,Arch_Aware,3.0
bfws,ricochet-robots,instance-08.pddl,0.886,Arch_Aware,3.0
bfws,ricochet-robots,instance-09.pddl,0.8645,Arch_Aware,3.0
bfws,ricochet-robots,instance-11.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-12.pddl,0.9474,Arch_Aware,3.0
bfws,ricochet-robots,instance-13.pddl,0.9104,Arch_Aware,3.0
bfws,ricochet-robots,instance-14.pddl,0.0,Arch_Aware,3.0
