Planner,Domain,Instance,IPC Score,Stage,Prompt ID,Iteration
bfws,barman,instance-01.pddl,0.9877,Feedback_Loop1,3.1,1
bfws,barman,instance-02.pddl,0.9659,Feedback_Loop2,3.2,2
bfws,barman,instance-03.pddl,0.9356,Feedback_Loop3,3.3,3
bfws,barman,instance-04.pddl,0.7783,Feedback_Loop1,3.1,1
bfws,barman,instance-07.pddl,0.9652,Feedback_Loop2,3.2,2
bfws,barman,instance-08.pddl,0.9674,Feedback_Loop1,3.1,1
bfws,barman,instance-09.pddl,0.9702,Feedback_Loop1,3.1,1
bfws,barman,instance-11.pddl,0.9732,Feedback_Loop1,3.1,1
bfws,barman,instance-12.pddl,0.9783,Feedback_Loop3,3.3,3
bfws,barman,instance-13.pddl,0.9124,Feedback_Loop1,3.1,1
bfws,barman,instance-14.pddl,0.6406,Feedback_Loop1,3.1,1
bfws,barman,instance-16.pddl,0.9793,Feedback_Loop1,3.1,1
bfws,barman,instance-17.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-18.pddl,0.9462,Feedback_Loop3,3.3,3
bfws,barman,instance-19.pddl,0.6241,Feedback_Loop2,3.2,2
bfws,depots,instance-01.pddl,0.975,Feedback_Loop3,3.3,3
bfws,depots,instance-02.pddl,0.9765,Feedback_Loop3,3.3,3
bfws,depots,instance-03.pddl,0.9507,Feedback_Loop3,3.3,3
bfws,depots,instance-04.pddl,0.9691,Feedback_Loop3,3.3,3
bfws,depots,instance-07.pddl,0.9462,Feedback_Loop3,3.3,3
bfws,depots,instance-08.pddl,0.9642,Feedback_Loop3,3.3,3
bfws,depots,instance-09.pddl,0.9635,Feedback_Loop1,3.1,1
bfws,depots,instance-11.pddl,0.5468,Feedback_Loop3,3.3,3
bfws,depots,instance-12.pddl,0.9753,Feedback_Loop3,3.3,3
bfws,depots,instance-13.pddl,0.9602,Feedback_Loop1,3.1,1
bfws,depots,instance-14.pddl,0.9576,Feedback_Loop1,3.1,1
bfws,depots,instance-16.pddl,0.9607,Feedback_Loop1,3.1,1
bfws,depots,instance-17.pddl,0.9511,Feedback_Loop3,3.3,3
bfws,depots,instance-18.pddl,0.9399,Feedback_Loop3,3.3,3
bfws,depots,instance-19.pddl,0.5474,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-01.pddl,0.9546,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-02.pddl,1.0,Feedback_Loop2,3.2,2
bfws,ricochet-robots,instance-03.pddl,1.0,Feedback_Loop2,3.2,2
bfws,ricochet-robots,instance-04.pddl,0.9314,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-07.pddl,0.9638,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-08.pddl,0.9432,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-09.pddl,0.94,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-11.pddl,0.9766,Feedback_Loop2,3.2,2
bfws,ricochet-robots,instance-12.pddl,0.9108,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-13.pddl,0.9483,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-14.pddl,0.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-16.pddl,0.944,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-17.pddl,0.884,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-18.pddl,0.8346,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-19.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-01.pddl,1.0,Feedback_Loop3,3.3,3
bfws,snake,instance-02.pddl,1.0,Feedback_Loop3,3.3,3
bfws,snake,instance-03.pddl,0.9435,Feedback_Loop3,3.3,3
bfws,snake,instance-04.pddl,0.8485,Feedback_Loop3,3.3,3
bfws,snake,instance-07.pddl,0.9648,Feedback_Loop2,3.2,2
bfws,snake,instance-08.pddl,0.9437,Feedback_Loop3,3.3,3
bfws,snake,instance-09.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-11.pddl,0.9761,Feedback_Loop3,3.3,3
bfws,snake,instance-12.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-13.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-14.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-16.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-17.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-18.pddl,0.0,Feedback_Loop1,3.1,1
bfws,snake,instance-19.pddl,0.0,Feedback_Loop1,3.1,1
bfws,visitall,instance-01.pddl,1.0,Feedback_Loop1,3.1,1
bfws,visitall,instance-02.pddl,1.0,Feedback_Loop3,3.3,3
bfws,visitall,instance-03.pddl,0.9985,Feedback_Loop2,3.2,2
bfws,visitall,instance-04.pddl,1.0,Feedback_Loop3,3.3,3
bfws,visitall,instance-07.pddl,0.9956,Feedback_Loop3,3.3,3
bfws,visitall,instance-08.pddl,1.0,Feedback_Loop3,3.3,3
