Planner,Domain,Instance,IPC Score
bfws,barman,instance-01.pddl,0.9622
bfws,barman,instance-02.pddl,0.9607
bfws,barman,instance-03.pddl,0.9266
bfws,barman,instance-04.pddl,0.7654
bfws,barman,instance-07.pddl,0.9485
bfws,barman,instance-08.pddl,0.9441
bfws,barman,instance-09.pddl,0.945
bfws,barman,instance-11.pddl,0.9588
bfws,barman,instance-12.pddl,0.9706
bfws,barman,instance-13.pddl,0.9104
bfws,barman,instance-14.pddl,0.6335
bfws,barman,instance-16.pddl,0.9661
bfws,barman,instance-17.pddl,0.9703
bfws,barman,instance-18.pddl,0.904
bfws,barman,instance-19.pddl,0.616
bfws,depots,instance-01.pddl,0.8796
bfws,depots,instance-02.pddl,0.875
bfws,depots,instance-03.pddl,0.8937
bfws,depots,instance-04.pddl,0.8903
bfws,depots,instance-07.pddl,0.889
bfws,depots,instance-08.pddl,0.8801
bfws,depots,instance-09.pddl,0.9134
bfws,depots,instance-11.pddl,0.537
bfws,depots,instance-12.pddl,0.9175
bfws,depots,instance-13.pddl,0.8977
bfws,depots,instance-14.pddl,0.9014
bfws,depots,instance-16.pddl,0.9072
bfws,depots,instance-17.pddl,0.9084
bfws,depots,instance-18.pddl,0.9292
bfws,depots,instance-19.pddl,0.9305
bfws,ricochet-robots,instance-01.pddl,0.8723
bfws,ricochet-robots,instance-02.pddl,0.9662
bfws,ricochet-robots,instance-03.pddl,0.9609
bfws,ricochet-robots,instance-04.pddl,0.0
bfws,ricochet-robots,instance-07.pddl,0.9212
bfws,ricochet-robots,instance-08.pddl,0.9171
bfws,ricochet-robots,instance-09.pddl,1.0
bfws,ricochet-robots,instance-11.pddl,0.0
bfws,ricochet-robots,instance-12.pddl,1.0
bfws,ricochet-robots,instance-13.pddl,0.9427
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.8883
bfws,ricochet-robots,instance-17.pddl,0.0
bfws,ricochet-robots,instance-18.pddl,0.0
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9357
bfws,snake,instance-02.pddl,0.8755
bfws,snake,instance-03.pddl,0.8531
bfws,snake,instance-04.pddl,0.8681
bfws,snake,instance-07.pddl,0.9089
bfws,snake,instance-08.pddl,0.9088
bfws,snake,instance-09.pddl,0.8913
bfws,snake,instance-11.pddl,0.0
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.9008
bfws,visitall,instance-02.pddl,0.9131
bfws,visitall,instance-03.pddl,0.9221
bfws,visitall,instance-04.pddl,0.9226
bfws,visitall,instance-07.pddl,0.7797
bfws,visitall,instance-08.pddl,0.7858
bfws,visitall,instance-09.pddl,0.7723
bfws,visitall,instance-11.pddl,0.7787
bfws,visitall,instance-12.pddl,0.7736
bfws,visitall,instance-13.pddl,0.8136
bfws,visitall,instance-14.pddl,0.8301
bfws,visitall,instance-16.pddl,0.7672
bfws,visitall,instance-17.pddl,0.7452
bfws,visitall,instance-18.pddl,0.7784
bfws,visitall,instance-19.pddl,0.7701
lama,barman,instance-01.pddl,0.9369
lama,barman,instance-02.pddl,0.9551
lama,barman,instance-03.pddl,0.9699
lama,barman,instance-04.pddl,0.9871
lama,barman,instance-07.pddl,0.9527
lama,barman,instance-08.pddl,0.9633
lama,barman,instance-09.pddl,0.9762
lama,barman,instance-11.pddl,0.9645
lama,barman,instance-12.pddl,0.9775
lama,barman,instance-13.pddl,0.9794
lama,barman,instance-14.pddl,0.9403
lama,barman,instance-16.pddl,0.9831
lama,barman,instance-17.pddl,0.9571
lama,barman,instance-18.pddl,0.9517
lama,barman,instance-19.pddl,0.9729
lama,depots,instance-01.pddl,0.8994
lama,depots,instance-02.pddl,0.9072
lama,depots,instance-03.pddl,0.8923
lama,depots,instance-04.pddl,0.9429
lama,depots,instance-07.pddl,0.9176
lama,depots,instance-08.pddl,0.9016
lama,depots,instance-09.pddl,0.9836
lama,depots,instance-11.pddl,0.9766
lama,depots,instance-12.pddl,0.9842
lama,depots,instance-13.pddl,0.9532
lama,depots,instance-14.pddl,0.94
lama,depots,instance-16.pddl,0.9392
lama,depots,instance-17.pddl,0.9223
lama,depots,instance-18.pddl,0.7197
