Planner,Domain,Instance,IPC Score,Stage,Prompt ID
bfws,barman,instance-01.pddl,0.9798,Arch_Aware,3.0
bfws,barman,instance-02.pddl,0.9802,Arch_Aware,3.0
bfws,barman,instance-03.pddl,0.971,Arch_Aware,3.0
bfws,barman,instance-04.pddl,0.7819,Arch_Aware,3.0
bfws,barman,instance-07.pddl,0.9715,Arch_Aware,3.0
bfws,barman,instance-08.pddl,0.9737,Arch_Aware,3.0
bfws,barman,instance-09.pddl,0.9678,Arch_Aware,3.0
bfws,barman,instance-11.pddl,0.9724,Arch_Aware,3.0
bfws,barman,instance-12.pddl,0.9776,Arch_Aware,3.0
bfws,barman,instance-13.pddl,0.913,Arch_Aware,3.0
bfws,barman,instance-14.pddl,0.9869,Arch_Aware,3.0
bfws,barman,instance-16.pddl,0.9875,Arch_Aware,3.0
bfws,barman,instance-17.pddl,0.974,Arch_Aware,3.0
bfws,barman,instance-18.pddl,0.9083,Arch_Aware,3.0
bfws,barman,instance-19.pddl,0.6291,Arch_Aware,3.0
bfws,depots,instance-01.pddl,1.0,Cross_Test,4.0
bfws,depots,instance-02.pddl,0.9872,Cross_Test,1.0
bfws,depots,instance-03.pddl,0.9769,Cross_Test,4.0
bfws,depots,instance-04.pddl,0.9856,Arch_Aware,3.0
bfws,depots,instance-07.pddl,0.9804,Cross_Test,4.0
bfws,depots,instance-08.pddl,0.9955,Cross_Test,4.0
bfws,depots,instance-09.pddl,0.4234,Cross_Test,4.0
bfws,depots,instance-11.pddl,0.9665,Cross_Test,4.0
bfws,depots,instance-12.pddl,0.9878,Cross_Test,4.0
bfws,depots,instance-13.pddl,0.9802,Cross_Test,4.0
bfws,depots,instance-14.pddl,1.0,Cross_Test,4.0
bfws,depots,instance-16.pddl,0.9884,Cross_Test,4.0
bfws,depots,instance-17.pddl,0.9485,Cross_Test,4.0
bfws,depots,instance-18.pddl,0.9637,Cross_Test,4.0
bfws,depots,instance-19.pddl,0.5631,Cross_Test,4.0
bfws,ricochet-robots,instance-01.pddl,1.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-02.pddl,0.9876,Arch_Aware,3.0
bfws,ricochet-robots,instance-03.pddl,0.9944,Arch_Aware,3.0
bfws,ricochet-robots,instance-04.pddl,1.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-07.pddl,1.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-08.pddl,0.9897,Arch_Aware,3.0
bfws,ricochet-robots,instance-09.pddl,0.9699,Arch_Aware,3.0
bfws,ricochet-robots,instance-11.pddl,0.981,Arch_Aware,3.0
bfws,ricochet-robots,instance-12.pddl,0.9448,Cross_Test,1.0
bfws,ricochet-robots,instance-13.pddl,0.9332,Arch_Aware,3.0
bfws,ricochet-robots,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,ricochet-robots,instance-16.pddl,0.9389,Cross_Test,1.0
bfws,ricochet-robots,instance-17.pddl,0.9331,Cross_Test,1.0
bfws,ricochet-robots,instance-18.pddl,0.8906,Cross_Test,1.0
bfws,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-01.pddl,0.9836,Cross_Test,2.0
bfws,snake,instance-02.pddl,0.9223,Cross_Test,2.0
bfws,snake,instance-03.pddl,0.9269,Cross_Test,2.0
bfws,snake,instance-04.pddl,0.9634,Cross_Test,2.0
bfws,snake,instance-07.pddl,0.931,Cross_Test,2.0
bfws,snake,instance-08.pddl,0.9771,Cross_Test,2.0
bfws,snake,instance-09.pddl,0.9502,Cross_Test,2.0
bfws,snake,instance-11.pddl,0.9307,Cross_Test,4.0
bfws,snake,instance-12.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-13.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-14.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-16.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-17.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-18.pddl,0.0,Arch_Aware,3.0
bfws,snake,instance-19.pddl,0.0,Arch_Aware,3.0
bfws,visitall,instance-01.pddl,0.9732,Arch_Aware,3.0
bfws,visitall,instance-02.pddl,0.9774,Arch_Aware,3.0
bfws,visitall,instance-03.pddl,0.9824,Arch_Aware,3.0
bfws,visitall,instance-04.pddl,0.9813,Arch_Aware,3.0
bfws,visitall,instance-07.pddl,0.8906,Arch_Aware,3.0
bfws,visitall,instance-08.pddl,0.8603,Arch_Aware,3.0
bfws,visitall,instance-09.pddl,0.8474,Arch_Aware,3.0
bfws,visitall,instance-11.pddl,0.8504,Arch_Aware,3.0
bfws,visitall,instance-12.pddl,0.8575,Arch_Aware,3.0
bfws,visitall,instance-13.pddl,0.8547,Arch_Aware,3.0
bfws,visitall,instance-14.pddl,0.8757,Arch_Aware,3.0
bfws,visitall,instance-16.pddl,0.8588,Arch_Aware,3.0
bfws,visitall,instance-17.pddl,0.8346,Arch_Aware,3.0
bfws,visitall,instance-18.pddl,0.8671,Arch_Aware,3.0
bfws,visitall,instance-19.pddl,0.8759,Arch_Aware,3.0
lama,barman,instance-01.pddl,0.9441,Cross_Test,3.0
lama,barman,instance-02.pddl,0.9722,Cross_Test,3.0
lama,barman,instance-03.pddl,0.9723,Cross_Test,3.0
lama,barman,instance-04.pddl,0.9736,Cross_Test,3.0
lama,barman,instance-07.pddl,0.944,Cross_Test,3.0
lama,barman,instance-08.pddl,0.9549,Cross_Test,3.0
lama,barman,instance-09.pddl,0.9618,Cross_Test,3.0
lama,barman,instance-11.pddl,0.9636,Cross_Test,3.0
lama,barman,instance-12.pddl,0.9667,Cross_Test,3.0
lama,barman,instance-13.pddl,0.9738,Cross_Test,3.0
lama,barman,instance-14.pddl,0.9566,Cross_Test,3.0
lama,barman,instance-16.pddl,0.9711,Cross_Test,3.0
lama,barman,instance-17.pddl,0.972,Cross_Test,3.0
lama,barman,instance-18.pddl,0.9655,Cross_Test,3.0
lama,barman,instance-19.pddl,0.9519,Cross_Test,3.0
lama,depots,instance-01.pddl,0.959,Arch_Aware,1.0
lama,depots,instance-02.pddl,0.9554,Arch_Aware,1.0
lama,depots,instance-03.pddl,0.9619,Cross_Test,3.0
lama,depots,instance-04.pddl,0.9827,Cross_Test,4.0
lama,depots,instance-07.pddl,0.9726,Cross_Test,4.0
lama,depots,instance-08.pddl,0.9795,Cross_Test,4.0
lama,depots,instance-09.pddl,0.9832,Cross_Test,4.0
lama,depots,instance-11.pddl,0.9822,Cross_Test,4.0
lama,depots,instance-12.pddl,0.9804,Cross_Test,4.0
lama,depots,instance-13.pddl,0.9721,Cross_Test,3.0
lama,depots,instance-14.pddl,0.9691,Cross_Test,4.0
lama,depots,instance-16.pddl,0.9591,Cross_Test,4.0
lama,depots,instance-17.pddl,0.9724,Cross_Test,4.0
lama,depots,instance-18.pddl,0.7133,Cross_Test,4.0
lama,depots,instance-19.pddl,0.9951,Arch_Aware,1.0
lama,ricochet-robots,instance-01.pddl,0.9949,Cross_Test,3.0
lama,ricochet-robots,instance-02.pddl,0.9909,Cross_Test,3.0
lama,ricochet-robots,instance-03.pddl,0.9926,Cross_Test,3.0
lama,ricochet-robots,instance-04.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-07.pddl,0.9888,Cross_Test,3.0
lama,ricochet-robots,instance-08.pddl,0.9862,Cross_Test,3.0
lama,ricochet-robots,instance-09.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-11.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-12.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-13.pddl,0.9826,Cross_Test,3.0
lama,ricochet-robots,instance-14.pddl,0.983,Arch_Aware,1.0
lama,ricochet-robots,instance-16.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-17.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-18.pddl,0.0,Arch_Aware,1.0
lama,ricochet-robots,instance-19.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-01.pddl,0.9756,Cross_Test,2.0
lama,snake,instance-02.pddl,0.99,Cross_Test,2.0
lama,snake,instance-03.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-04.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-07.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-08.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-09.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-11.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-12.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-13.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-14.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-16.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-17.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-18.pddl,0.0,Arch_Aware,1.0
lama,snake,instance-19.pddl,0.0,Arch_Aware,1.0
lama,visitall,instance-01.pddl,0.9768,Arch_Aware,1.0
lama,visitall,instance-02.pddl,0.9714,Arch_Aware,1.0
lama,visitall,instance-03.pddl,0.9707,Arch_Aware,1.0
lama,visitall,instance-04.pddl,0.967,Arch_Aware,1.0
lama,visitall,instance-07.pddl,0.9171,Arch_Aware,1.0
lama,visitall,instance-08.pddl,0.9588,Arch_Aware,1.0
lama,visitall,instance-09.pddl,0.9343,Arch_Aware,1.0
