Planner,Domain,Instance,IPC Score,Stage,Prompt ID,Iteration
bfws,barman,instance-01.pddl,0.9953,Feedback_Loop3,3.3,3
bfws,barman,instance-02.pddl,0.9881,Feedback_Loop2,3.2,2
bfws,barman,instance-03.pddl,0.9963,Feedback_Loop1,3.1,1
bfws,barman,instance-04.pddl,0.7931,Feedback_Loop1,3.1,1
bfws,barman,instance-07.pddl,0.9853,Feedback_Loop3,3.3,3
bfws,barman,instance-08.pddl,0.9919,Feedback_Loop1,3.1,1
bfws,barman,instance-09.pddl,0.982,Feedback_Loop3,3.3,3
bfws,barman,instance-11.pddl,0.9963,Feedback_Loop2,3.2,2
bfws,barman,instance-12.pddl,1.0,Feedback_Loop3,3.3,3
bfws,barman,instance-13.pddl,0.9398,Feedback_Loop2,3.2,2
bfws,barman,instance-14.pddl,1.0,Feedback_Loop1,3.1,1
bfws,barman,instance-16.pddl,0.998,Feedback_Loop3,3.3,3
bfws,barman,instance-17.pddl,0.9967,Feedback_Loop3,3.3,3
bfws,barman,instance-18.pddl,0.9269,Feedback_Loop3,3.3,3
bfws,barman,instance-19.pddl,0.6306,Feedback_Loop3,3.3,3
bfws,depots,instance-01.pddl,0.9613,Feedback_Loop1,3.1,1
bfws,depots,instance-02.pddl,0.9728,Feedback_Loop3,3.3,3
bfws,depots,instance-03.pddl,0.9468,Feedback_Loop2,3.2,2
bfws,depots,instance-04.pddl,0.9794,Feedback_Loop1,3.1,1
bfws,depots,instance-07.pddl,0.7335,Feedback_Loop3,3.3,3
bfws,depots,instance-08.pddl,0.987,Feedback_Loop3,3.3,3
bfws,depots,instance-09.pddl,0.9933,Feedback_Loop3,3.3,3
bfws,depots,instance-11.pddl,1.0,Feedback_Loop3,3.3,3
bfws,depots,instance-12.pddl,0.9618,Feedback_Loop3,3.3,3
bfws,depots,instance-13.pddl,0.9726,Feedback_Loop3,3.3,3
bfws,depots,instance-14.pddl,0.97,Feedback_Loop3,3.3,3
bfws,depots,instance-16.pddl,0.9803,Feedback_Loop3,3.3,3
bfws,depots,instance-17.pddl,0.871,Feedback_Loop3,3.3,3
bfws,depots,instance-18.pddl,0.9314,Feedback_Loop3,3.3,3
bfws,depots,instance-19.pddl,0.5554,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-01.pddl,0.9599,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-02.pddl,0.9967,Feedback_Loop3,3.3,3
bfws,ricochet-robots,instance-03.pddl,0.9828,Feedback_Loop2,3.2,2
bfws,ricochet-robots,instance-04.pddl,0.9183,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-07.pddl,0.9814,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-08.pddl,0.9856,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-09.pddl,0.9568,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-11.pddl,1.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-12.pddl,0.9594,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-13.pddl,1.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-14.pddl,0.0,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-16.pddl,0.9768,Feedback_Loop1,3.1,1
bfws,ricochet-robots,instance-17.pddl,0.9075,Feedback_Loop2,3.2,2
