Planner,Domain,Instance,IPC Score
bfws,barman,instance-01.pddl,0.9615
bfws,barman,instance-02.pddl,0.965
bfws,barman,instance-03.pddl,0.9282
bfws,barman,instance-04.pddl,0.7689
bfws,barman,instance-07.pddl,0.9562
bfws,barman,instance-08.pddl,0.9549
bfws,barman,instance-09.pddl,0.9484
bfws,barman,instance-11.pddl,0.9706
bfws,barman,instance-12.pddl,0.9671
bfws,barman,instance-13.pddl,0.9096
bfws,barman,instance-14.pddl,0.6317
bfws,barman,instance-16.pddl,0.9645
bfws,barman,instance-17.pddl,0.9708
bfws,barman,instance-18.pddl,0.9
bfws,barman,instance-19.pddl,0.6172
bfws,depots,instance-01.pddl,0.9088
bfws,depots,instance-02.pddl,0.8979
bfws,depots,instance-03.pddl,0.9015
bfws,depots,instance-04.pddl,0.8971
bfws,depots,instance-07.pddl,0.8919
bfws,depots,instance-08.pddl,0.9124
bfws,depots,instance-09.pddl,0.4092
bfws,depots,instance-11.pddl,0.8999
bfws,depots,instance-12.pddl,0.9246
bfws,depots,instance-13.pddl,0.9051
bfws,depots,instance-14.pddl,0.9012
bfws,depots,instance-16.pddl,0.9084
bfws,depots,instance-17.pddl,0.8721
bfws,depots,instance-18.pddl,0.9027
bfws,depots,instance-19.pddl,0.5414
bfws,ricochet-robots,instance-01.pddl,0.9142
bfws,ricochet-robots,instance-02.pddl,0.9922
bfws,ricochet-robots,instance-03.pddl,0.9838
bfws,ricochet-robots,instance-04.pddl,0.9343
bfws,ricochet-robots,instance-07.pddl,0.9312
bfws,ricochet-robots,instance-08.pddl,1.0
bfws,ricochet-robots,instance-09.pddl,0.9146
bfws,ricochet-robots,instance-11.pddl,0.9637
bfws,ricochet-robots,instance-12.pddl,0.9352
bfws,ricochet-robots,instance-13.pddl,0.944
bfws,ricochet-robots,instance-14.pddl,0.0
bfws,ricochet-robots,instance-16.pddl,0.8875
bfws,ricochet-robots,instance-17.pddl,0.0
bfws,ricochet-robots,instance-18.pddl,0.0
bfws,ricochet-robots,instance-19.pddl,0.0
bfws,snake,instance-01.pddl,0.9663
bfws,snake,instance-02.pddl,0.99
bfws,snake,instance-03.pddl,0.9362
bfws,snake,instance-04.pddl,0.9146
bfws,snake,instance-07.pddl,0.9101
bfws,snake,instance-08.pddl,0.9368
bfws,snake,instance-09.pddl,0.949
bfws,snake,instance-11.pddl,0.9526
bfws,snake,instance-12.pddl,0.0
bfws,snake,instance-13.pddl,0.0
bfws,snake,instance-14.pddl,0.0
bfws,snake,instance-16.pddl,0.0
bfws,snake,instance-17.pddl,0.0
bfws,snake,instance-18.pddl,0.0
bfws,snake,instance-19.pddl,0.0
bfws,visitall,instance-01.pddl,0.8469
bfws,visitall,instance-02.pddl,0.9649
bfws,visitall,instance-03.pddl,0.9296
bfws,visitall,instance-04.pddl,0.9848
bfws,visitall,instance-07.pddl,0.9563
bfws,visitall,instance-08.pddl,0.9766
bfws,visitall,instance-09.pddl,0.99
bfws,visitall,instance-11.pddl,0.8911
bfws,visitall,instance-12.pddl,0.9357
bfws,visitall,instance-13.pddl,0.9149
bfws,visitall,instance-14.pddl,0.931
bfws,visitall,instance-16.pddl,0.971
bfws,visitall,instance-17.pddl,0.8879
bfws,visitall,instance-18.pddl,0.9454
bfws,visitall,instance-19.pddl,0.939
lama,barman,instance-01.pddl,0.9409
lama,barman,instance-02.pddl,0.9667
lama,barman,instance-03.pddl,0.9626
lama,barman,instance-04.pddl,0.9894
lama,barman,instance-07.pddl,0.9502
lama,barman,instance-08.pddl,0.9568
lama,barman,instance-09.pddl,0.9806
lama,barman,instance-11.pddl,0.9754
lama,barman,instance-12.pddl,0.9714
lama,barman,instance-13.pddl,0.9859
lama,barman,instance-14.pddl,0.9505
lama,barman,instance-16.pddl,0.9682
lama,barman,instance-17.pddl,0.9659
lama,barman,instance-18.pddl,0.9672
lama,barman,instance-19.pddl,0.9746
lama,depots,instance-01.pddl,0.9256
lama,depots,instance-02.pddl,0.9067
lama,depots,instance-03.pddl,0.9291
lama,depots,instance-04.pddl,0.9408
lama,depots,instance-07.pddl,0.9065
lama,depots,instance-08.pddl,0.9178
lama,depots,instance-09.pddl,0.9669
lama,depots,instance-11.pddl,0.98
