Timestamp,Component,Run_ID,Domain,Problem,Planner,Error_Type,Error_Message,Dump_Path
2026-04-24T14:51:30.700388+00:00,PLANNER,37,visitall,instance-02.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/37_OOM.txt
2026-04-24T14:56:30.020460+00:00,PLANNER,43,visitall,instance-03.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/43_OOM.txt
2026-04-24T15:01:29.898506+00:00,PLANNER,47,visitall,instance-04.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/47_OOM.txt
2026-04-24T15:06:29.723172+00:00,PLANNER,51,visitall,instance-07.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/51_OOM.txt
2026-04-24T15:11:29.336073+00:00,PLANNER,55,visitall,instance-08.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/55_OOM.txt
2026-04-24T15:16:28.411989+00:00,PLANNER,59,visitall,instance-09.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/59_OOM.txt
2026-04-24T15:21:28.208151+00:00,PLANNER,63,visitall,instance-11.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/63_OOM.txt
2026-04-24T15:26:28.018904+00:00,PLANNER,67,visitall,instance-12.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/67_OOM.txt
2026-04-24T15:31:27.593826+00:00,PLANNER,71,visitall,instance-13.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/71_OOM.txt
2026-04-24T15:36:26.719153+00:00,PLANNER,75,visitall,instance-14.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/75_OOM.txt
2026-04-24T15:41:25.924766+00:00,PLANNER,79,visitall,instance-16.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/79_OOM.txt
2026-04-24T15:46:25.251808+00:00,PLANNER,85,visitall,instance-17.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/85_OOM.txt
2026-04-24T15:51:24.623017+00:00,PLANNER,89,visitall,instance-18.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/89_OOM.txt
2026-04-24T15:56:24.016855+00:00,PLANNER,95,visitall,instance-19.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/95_OOM.txt
2026-04-24T16:06:06.312010+00:00,PLANNER,109,snake,instance-04.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/109_OOM.txt
2026-04-24T16:16:05.871302+00:00,PLANNER,119,snake,instance-08.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/119_OOM.txt
2026-04-24T16:21:05.735666+00:00,PLANNER,123,snake,instance-09.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/123_OOM.txt
2026-04-24T16:36:06.025484+00:00,PLANNER,155,snake,instance-13.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/155_OOM.txt
2026-04-24T16:41:05.160935+00:00,PLANNER,163,snake,instance-14.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/163_OOM.txt
2026-04-24T16:46:05.094942+00:00,PLANNER,172,snake,instance-16.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/172_OOM.txt
2026-04-24T16:51:04.542961+00:00,PLANNER,175,snake,instance-17.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/175_OOM.txt
2026-04-24T16:56:04.076894+00:00,PLANNER,178,snake,instance-18.pddl,decstar,MEMOUT,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/178_OOM.txt
2026-04-24T17:06:04.101951+00:00,PLANNER,214,ricochet-robots,instance-01.pddl,decstar,FAILURE,N/A,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage0/error_dumps/214_CRASH.txt

