Timestamp,Component,Run_ID,Domain,Problem,Planner,Error_Type,Dump_Path
2026-05-01T15:59:41.607759+00:00,PLANNER,336,visitall,instance-01.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/336_TIMEOUT.txt
2026-05-01T15:59:41.956163+00:00,PLANNER,337,visitall,instance-01.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/337_TIMEOUT.txt
2026-05-01T16:05:41.423794+00:00,PLANNER,358,visitall,instance-02.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/358_TIMEOUT.txt
2026-05-01T16:05:42.454337+00:00,PLANNER,359,visitall,instance-02.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/359_TIMEOUT.txt
2026-05-01T16:11:41.213008+00:00,PLANNER,368,visitall,instance-03.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/368_TIMEOUT.txt
2026-05-01T16:11:43.067421+00:00,PLANNER,369,visitall,instance-03.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/369_TIMEOUT.txt
2026-05-01T16:17:41.006084+00:00,PLANNER,376,visitall,instance-04.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/376_TIMEOUT.txt
2026-05-01T16:17:43.625653+00:00,PLANNER,377,visitall,instance-04.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/377_TIMEOUT.txt
2026-05-01T16:23:14.637092+00:00,PLANNER,379,snake,instance-03.pddl,lama,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/379_TIMEOUT.txt
2026-05-01T16:23:40.090257+00:00,PLANNER,380,visitall,instance-07.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/380_TIMEOUT.txt
2026-05-01T16:23:44.115541+00:00,PLANNER,381,visitall,instance-07.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/381_TIMEOUT.txt
2026-05-01T16:26:38.513885+00:00,PLANNER,382,snake,instance-12.pddl,bfws,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/382_TIMEOUT.txt
2026-05-01T16:29:14.471209+00:00,PLANNER,383,snake,instance-04.pddl,lama,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/383_TIMEOUT.txt
2026-05-01T16:29:39.237741+00:00,PLANNER,384,visitall,instance-08.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/384_TIMEOUT.txt
2026-05-01T16:29:44.602728+00:00,PLANNER,385,visitall,instance-08.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/385_TIMEOUT.txt
2026-05-01T16:32:39.018434+00:00,PLANNER,386,snake,instance-13.pddl,bfws,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/386_TIMEOUT.txt
2026-05-01T16:35:14.477100+00:00,PLANNER,387,snake,instance-07.pddl,lama,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/387_TIMEOUT.txt
2026-05-01T16:35:38.548606+00:00,PLANNER,388,visitall,instance-09.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/388_TIMEOUT.txt
2026-05-01T16:35:45.103129+00:00,PLANNER,389,visitall,instance-09.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/389_TIMEOUT.txt
2026-05-01T16:38:39.518092+00:00,PLANNER,390,snake,instance-14.pddl,bfws,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/390_TIMEOUT.txt
2026-05-01T16:41:14.558572+00:00,PLANNER,391,snake,instance-08.pddl,lama,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/391_TIMEOUT.txt
2026-05-01T16:41:37.746618+00:00,PLANNER,392,visitall,instance-11.pddl,decstar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/392_TIMEOUT.txt
2026-05-01T16:41:45.624418+00:00,PLANNER,393,visitall,instance-11.pddl,madagascar,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage1/error_dumps/TIMEOUT/393_TIMEOUT.txt
