Timestamp,Component,Run_ID,Domain,Problem,Planner,LLM,Iteration,Error_Type,Dump_Path
2026-05-24T16:50:56.429142+00:00,PLANNER,4576,barman,instance-01.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4576_TIMEOUT.txt
2026-05-24T16:51:10.283576+00:00,PLANNER,4577,barman,instance-01.pddl,decstar,claude-opus-4-6,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4577_TIMEOUT.txt
2026-05-24T16:52:16.570621+00:00,PLANNER,4578,barman,instance-01.pddl,decstar,deepseek-reasoner,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4578_TIMEOUT.txt
2026-05-24T16:53:53.817204+00:00,PLANNER,4579,barman,instance-01.pddl,decstar,gemini-3.1-pro-preview-customtools,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4579_TIMEOUT.txt
2026-05-24T16:56:59.203041+00:00,PLANNER,4580,barman,instance-02.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4580_TIMEOUT.txt
2026-05-24T16:57:10.108548+00:00,PLANNER,4581,barman,instance-02.pddl,decstar,claude-opus-4-6,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4581_TIMEOUT.txt
2026-05-24T16:58:19.440939+00:00,PLANNER,4582,barman,instance-02.pddl,decstar,deepseek-reasoner,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4582_TIMEOUT.txt
2026-05-24T16:59:53.751966+00:00,PLANNER,4585,barman,instance-02.pddl,decstar,gemini-3.1-pro-preview-customtools,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4585_TIMEOUT.txt
2026-05-24T17:08:40.110139+00:00,PLANNER,4592,barman,instance-07.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4592_TIMEOUT.txt
2026-05-24T17:08:55.330065+00:00,PLANNER,4593,barman,instance-07.pddl,decstar,claude-opus-4-6,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4593_TIMEOUT.txt
2026-05-24T17:10:03.708537+00:00,PLANNER,4594,barman,instance-07.pddl,decstar,deepseek-reasoner,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4594_TIMEOUT.txt
2026-05-24T17:11:37.606372+00:00,PLANNER,4595,barman,instance-07.pddl,decstar,gemini-3.1-pro-preview-customtools,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4595_TIMEOUT.txt
2026-05-24T17:14:40.026440+00:00,PLANNER,4596,barman,instance-08.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4596_TIMEOUT.txt
2026-05-24T17:14:55.657197+00:00,PLANNER,4597,barman,instance-08.pddl,decstar,claude-opus-4-6,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4597_TIMEOUT.txt
2026-05-24T17:16:03.664917+00:00,PLANNER,4598,barman,instance-08.pddl,decstar,deepseek-reasoner,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4598_TIMEOUT.txt
2026-05-24T17:17:37.612853+00:00,PLANNER,4599,barman,instance-08.pddl,decstar,gemini-3.1-pro-preview-customtools,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4599_TIMEOUT.txt
2026-05-24T17:20:42.791735+00:00,PLANNER,4600,barman,instance-09.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4600_TIMEOUT.txt
2026-05-24T17:20:55.248141+00:00,PLANNER,4601,barman,instance-09.pddl,decstar,claude-opus-4-6,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4601_TIMEOUT.txt
2026-05-24T17:22:06.394789+00:00,PLANNER,4602,barman,instance-09.pddl,decstar,deepseek-reasoner,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4602_TIMEOUT.txt
2026-05-24T17:23:40.390710+00:00,PLANNER,4603,barman,instance-09.pddl,decstar,gemini-3.1-pro-preview-customtools,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4603_TIMEOUT.txt
2026-05-24T17:26:42.845662+00:00,PLANNER,4604,barman,instance-11.pddl,decstar,gpt-5.4-2026-03-05,1,TIMEOUT,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/logs/stage3/error_dumps/TIMEOUT/4604_TIMEOUT.txt
