ID,Domain Name,LLM Model,Prompt ID,LLM_Status,LLM API Time S,Input Tokens Consumed,Output Tokens Generated,Path to Raw LLM Response,Passed Stage V1,Path to Extracted PDDL,Passed VAL Syntactic Check (V2),VAL_error_string,Passed V3,Passed V4,Validation Status,Timestamp
21,visitall,gpt-5.4-2026-03-05,1,Passed,3.888,1079,124,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_gpt-5.4_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_gpt-5.4_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:56:57.473358Z
22,visitall,claude-opus-4-6,1,Passed,4.249,1243,140,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_claude-opus-4.6_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_claude-opus-4.6_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:56:57.798917Z
23,visitall,gpt-5.4-2026-03-05,2,Passed,2.825,1105,124,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_gpt-5.4_Arch_Aware_decstar.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_gpt-5.4_Arch_Aware_decstar.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:00.320746Z
24,visitall,claude-opus-4-6,2,Passed,3.485,1268,140,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_claude-opus-4.6_Arch_Aware_decstar.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_claude-opus-4.6_Arch_Aware_decstar.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:01.305281Z
25,visitall,claude-opus-4-6,3,Passed,2.843,1292,140,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_claude-opus-4.6_Arch_Aware_bfws.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:04.173680Z
26,visitall,gpt-5.4-2026-03-05,3,Passed,3.970,1104,123,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_gpt-5.4_Arch_Aware_bfws.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_gpt-5.4_Arch_Aware_bfws.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:04.312692Z
27,visitall,gemini-3.1-pro-preview-customtools,1,Passed,11.680,1133,135,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_gemini-3.1-pro_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_gemini-3.1-pro_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:05.302403Z
28,visitall,gpt-5.4-2026-03-05,4,Passed,1.968,1187,123,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_gpt-5.4_Arch_Aware_madagascar.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_gpt-5.4_Arch_Aware_madagascar.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:06.302132Z
29,visitall,claude-opus-4-6,4,Passed,3.486,1368,140,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_claude-opus-4.6_Arch_Aware_madagascar.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_claude-opus-4.6_Arch_Aware_madagascar.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:07.682653Z
30,visitall,deepseek-reasoner,1,Passed,16.511,1109,1068,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/visitall/visitall_deepseek-r1_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/visitall/visitall_deepseek-r1_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:10.062268Z
31,snake,gpt-5.4-2026-03-05,1,Passed,6.670,1634,586,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/snake/snake_gpt-5.4_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/snake/snake_gpt-5.4_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:12.994160Z
32,snake,claude-opus-4-6,1,Passed,10.580,1887,692,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/LLM Results/snake/snake_claude-opus-4.6_Arch_Aware_lama.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/arch_aware/Extracted PDDL/snake/snake_claude-opus-4.6_Arch_Aware_lama.pddl,True,N/A,True,True,VALID,2026-05-08T11:57:18.286079Z
