Run_ID,Domain_Name,Domain_File,Problem_Instance,Planner_Used,Stage,LLM_Used,PromptID,PlanCost,Runtime_internal_s,Runtime_wall_s,Output_Status,StatesExpanded,StatesGenerated,StatesEvaluated,PeakMemoryKB,Timestamp
1381,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-01.pddl,bfws,Arch_Aware,claude-opus-4-6,3,919,0.323316,1.825473,SUCCESS,1118,3895,N/A,N/A,2026-05-08T12:22:31.814594+00:00
1382,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-02.pddl,bfws,Arch_Aware,claude-opus-4-6,3,1028,0.446752,1.660794,SUCCESS,2144,5448,N/A,N/A,2026-05-08T12:22:33.525193+00:00
1383,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-01.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,1130,2.76077,4.272682,SUCCESS,4799,18850,4800,20004,2026-05-08T12:22:34.260513+00:00
1384,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-03.pddl,bfws,Arch_Aware,claude-opus-4-6,3,1043,0.416101,1.710228,SUCCESS,1254,4342,N/A,N/A,2026-05-08T12:22:35.283678+00:00
1385,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-04.pddl,bfws,Arch_Aware,claude-opus-4-6,3,1110,0.491019,1.865653,SUCCESS,1355,4688,N/A,N/A,2026-05-08T12:22:37.192920+00:00
1386,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-02.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,1326,3.132889,4.318939,SUCCESS,5708,22570,5709,21204,2026-05-08T12:22:38.624780+00:00
1387,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-03.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,1318,3.56122,4.800498,SUCCESS,6814,26686,6815,22808,2026-05-08T12:22:43.473851+00:00
1388,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-07.pddl,bfws,Arch_Aware,claude-opus-4-6,3,2743,5.53723,10.175253,SUCCESS,3580,11966,N/A,N/A,2026-05-08T12:22:47.414449+00:00
1389,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-04.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,1573,4.109571,5.437409,SUCCESS,7734,30444,7735,24432,2026-05-08T12:22:48.957777+00:00
1390,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-08.pddl,bfws,Arch_Aware,claude-opus-4-6,3,2850,6.89315,11.605862,SUCCESS,3717,12467,N/A,N/A,2026-05-08T12:22:59.065099+00:00
1391,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-09.pddl,bfws,Arch_Aware,claude-opus-4-6,3,2959,7.18876,12.342917,SUCCESS,3949,13068,N/A,N/A,2026-05-08T12:23:11.456425+00:00
1392,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-07.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,3494,28.745331,31.415443,SUCCESS,20520,81445,20521,68636,2026-05-08T12:23:20.425410+00:00
1393,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-11.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3179,12.8846,19.296003,SUCCESS,4210,13952,N/A,N/A,2026-05-08T12:23:30.801857+00:00
1394,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-12.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3294,11.8605,17.871734,SUCCESS,4347,14400,N/A,N/A,2026-05-08T12:23:48.720681+00:00
1395,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-08.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,3828,32.720219,35.562832,SUCCESS,21596,85818,21597,73448,2026-05-08T12:23:56.041091+00:00
1396,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-13.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3411,14.7981,21.609994,SUCCESS,4581,14980,N/A,N/A,2026-05-08T12:24:10.383097+00:00
1397,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-09.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,3769,35.017145,37.837022,SUCCESS,21568,85742,21569,75092,2026-05-08T12:24:33.928887+00:00
1398,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-14.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3632,22.4491,29.332365,SUCCESS,8139,20010,N/A,N/A,2026-05-08T12:24:39.763796+00:00
1399,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-16.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3770,15.9018,24.691824,SUCCESS,5002,16547,N/A,N/A,2026-05-08T12:25:04.503590+00:00
1400,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-11.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,4062,41.187391,44.322086,SUCCESS,22870,90930,22871,82800,2026-05-08T12:25:18.300212+00:00
1401,visitall,visitall_claude-opus-4.6_Arch_Aware_bfws.pddl,instance-17.pddl,bfws,Arch_Aware,claude-opus-4-6,3,3895,22.0875,31.088056,SUCCESS,5240,17281,N/A,N/A,2026-05-08T12:25:35.637900+00:00
1402,visitall,visitall_gpt-5.4_Arch_Aware_lama.pddl,instance-12.pddl,lama,Arch_Aware,gpt-5.4-2026-03-05,1,4449,43.231158,46.332682,SUCCESS,23085,91639,23086,85468,2026-05-08T12:26:04.682231+00:00
