Domain,LLM,Target_Planner,Coverage_Stage0,Coverage_Stage2,Delta_Coverage,Mean_IPC_Gain,Median_IPC_Gain,Wilcoxon_Stat,Wilcoxon_P_Value,Condition_A_StatSig,Condition_B_PractSig,Condition_C_Coverage,IMPROVEMENT_DETECTED,Failed_Condition,Timestamp,Raw_T_Star_Trace,Raw_Gains_Trace,Raw_Baseline_Scores,Raw_Stage2_Scores
visitall,claude-opus-4-6,bfws,1.0,1.0,0.0,0.017787,0.013195,113.0,0.00058,True,True,True,True,N/A,2026-05-12T10:43:21.921073,"[1.441655, 1.628475, 1.663267, 1.865653, 10.175253, 11.605862, 12.07922, 17.182294, 17.871734, 18.169118, 27.961117, 23.169397, 26.63397, 39.779946, 30.367433]","[0.039896364136134066, 0.021395824926084606, 0.05166729369273648, 0.007873503323156172, 0.0436648303143915, 0.013195311751234229, 0.000695167235241323, 0.01031423556450728, 0.022478331547718278, 0.010667764454716955, 0.023151085876358835, -0.0035529966574281424, -0.008975741061875264, 0.0048849500183267835, 0.029443311498171143]","[0.8671215379974615, 0.9701417278538707, 0.936385135366325, 0.9921264966768438, 0.9563351696856085, 0.9868046882487658, 0.9900130621138621, 0.9417165398025863, 0.9775216684522817, 0.9192872770778818, 0.9564798748908078, 0.9766578937888395, 0.9460444030816199, 0.9876187328925474, 0.9705566885018289]","[0.9070179021335956, 0.9915375527799553, 0.9880524290590614, 1.0, 1.0, 1.0, 0.9907082293491034, 0.9520307753670936, 1.0, 0.9299550415325988, 0.9796309607671666, 0.9731048971314114, 0.9370686620197446, 0.9925036829108742, 1.0]"
visitall,gpt-5.4-2026-03-05,lama,1.0,1.0,0.0,0.02566,0.020307,118.0,9.2e-05,True,True,True,True,N/A,2026-05-12T10:43:21.942608,"[3.744145, 4.274904, 4.800498, 5.437409, 31.415443, 33.679753, 37.337827, 44.235115, 46.332682, 50.142547, 53.385797, 60.701439, 71.428663, 72.919019, 81.523445]","[0.03681702700596312, 0.026446075000503333, 0.020307340028216325, 0.034846658336257774, 0.010298810263318914, 0.0007837059356515796, 0.01583755403251408, -0.0008523043791385243, 0.005444982915597918, 0.002280831893575086, 0.012309843444294977, 0.056311289822587374, 0.060828760024385975, 0.04380495998439793, 0.059441087581381225]","[0.9089454688831325, 0.9691229421830589, 0.9796926599717837, 0.9651533416637422, 0.9897011897366811, 0.9761342239632154, 0.9784276155683109, 1.0, 0.9945550170844021, 0.9977191681064249, 0.987690156555705, 0.9331738532905584, 0.939171239975614, 0.9408787849903572, 0.9276734734453572]","[0.9457624958890957, 0.9955690171835623, 1.0, 1.0, 1.0, 0.9769179298988669, 0.994265169600825, 0.9991476956208615, 1.0, 1.0, 1.0, 0.9894851431131457, 1.0, 0.9846837449747551, 0.9871145610267384]"
visitall,gpt-5.4-2026-03-05,bfws,1.0,1.0,0.0,0.013434,0.004997,74.0,0.227142,True,True,True,True,N/A,2026-05-12T10:43:21.964578,"[1.441655, 1.628475, 1.663267, 1.865653, 10.175253, 11.605862, 12.07922, 17.182294, 17.871734, 18.169118, 27.961117, 23.169397, 26.63397, 39.779946, 30.367433]","[0.12295336407303048, 0.02985827214612935, 0.06361486463367505, -0.0004762466431769141, -0.02756429982088504, 0.007147769183835417, 0.004997413544850282, 0.058283460197413706, -0.013714299775778649, 0.08071272292211817, 0.04352012510919223, -0.02544481885415817, -0.044886209821809464, -0.05258355015415106, -0.04490969522859278]","[0.8671215379974615, 0.9701417278538707, 0.936385135366325, 0.9921264966768438, 0.9563351696856085, 0.9868046882487658, 0.9900130621138621, 0.9417165398025863, 0.9775216684522817, 0.9192872770778818, 0.9564798748908078, 0.9766578937888395, 0.9460444030816199, 0.9876187328925474, 0.9705566885018289]","[0.990074902070492, 1.0, 1.0, 0.9916502500336669, 0.9287708698647235, 0.9939524574326012, 0.9950104756587124, 1.0, 0.9638073686765031, 1.0, 1.0, 0.9512130749346813, 0.9011581932598104, 0.9350351827383964, 0.9256469932732361]"
visitall,gpt-5.4-2026-03-05,decstar,0.0,0.0,0.0,0.0,0.0,N/A,1.0,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:21.983817,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
visitall,gpt-5.4-2026-03-05,madagascar,0.0,0.0,0.0,0.0,0.0,N/A,1.0,False,False,True,False,"A(Stat), B(Prac)",2026-05-12T10:43:22.003568,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
snake,gpt-5.4-2026-03-05,bfws,0.533333,0.533333,0.0,0.013278,0.0,30.0,0.054688,True,True,True,True,N/A,2026-05-12T10:43:22.024834,"[3.404625, 36.85394, 46.158731, 70.871636, 133.709304, 194.635307, 250.535657, 299.767597, null, null, null, null, null, null, null]","[0.008799409518080559, -0.051942728671612315, 0.022747422506146142, 0.05706822888032359, 0.08216598073458625, 0.031250025339192855, 0.028503468040453117, 0.020573013585769906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9912005904819194, 1.0, 0.960596773519536, 0.9256620844729959, 0.9178340192654137, 0.9501836943862867, 0.9633611911628679, 0.9603623444202007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9480572713283877, 0.9833441960256821, 0.9827303133533195, 1.0, 0.9814337197254795, 0.991864659203321, 0.9809353580059706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
visitall,claude-opus-4-6,lama,1.0,1.0,0.0,0.018572,0.015446,89.0,0.053497,True,True,True,True,N/A,2026-05-12T10:43:22.045550,"[3.744145, 4.274904, 4.800498, 5.437409, 31.415443, 33.679753, 37.337827, 44.235115, 46.332682, 50.142547, 53.385797, 60.701439, 71.428663, 72.919019, 81.523445]","[0.08876169112054977, 0.01789604357872343, 0.013620115909084407, 0.031548274946661015, -0.024454714699084112, -0.006582567238104131, 0.015445505621852984, -0.014192696936499716, -0.030477158449509933, -0.022580324153253284, -0.003451226643180094, 0.03772680123705141, 0.05405029811104167, 0.05912121500964285, 0.062151015998331394]","[0.9089454688831325, 0.9691229421830589, 0.9796926599717837, 0.9651533416637422, 0.9897011897366811, 0.9761342239632154, 0.9784276155683109, 1.0, 0.9945550170844021, 0.9977191681064249, 0.987690156555705, 0.9331738532905584, 0.939171239975614, 0.9408787849903572, 0.9276734734453572]","[0.9977071600036823, 0.9870189857617824, 0.9933127758808681, 0.9967016166104032, 0.965246475037597, 0.9695516567251112, 0.9938731211901639, 0.9858073030635003, 0.9640778586348921, 0.9751388439531716, 0.9842389299125249, 0.9709006545276098, 0.9932215380866557, 1.0, 0.9898244894436886]"
visitall,gemini-3.1-pro-preview-customtools,lama,1.0,1.0,0.0,0.023289,0.023866,100.0,0.010773,True,True,True,True,N/A,2026-05-12T10:43:22.067365,"[3.744145, 4.274904, 4.800498, 5.437409, 31.415443, 33.679753, 37.337827, 44.235115, 46.332682, 50.142547, 53.385797, 60.701439, 71.428663, 72.919019, 81.523445]","[0.09105453111686745, 0.030877057816941056, 0.013871529787506054, 0.032946165429121876, -0.030651176190278906, 0.023865776036784636, 0.00971112722253853, -0.005637649938204259, -0.012244208613905516, -0.010312009440902048, -0.009320426811666227, 0.03962172174477829, 0.05964642547196852, 0.05277994233817718, 0.06313314233179268]","[0.9089454688831325, 0.9691229421830589, 0.9796926599717837, 0.9651533416637422, 0.9897011897366811, 0.9761342239632154, 0.9784276155683109, 1.0, 0.9945550170844021, 0.9977191681064249, 0.987690156555705, 0.9331738532905584, 0.939171239975614, 0.9408787849903572, 0.9276734734453572]","[1.0, 1.0, 0.9935641897592897, 0.9980995070928641, 0.9590500135464022, 1.0, 0.9881387427908495, 0.9943623500617957, 0.9823108084704966, 0.9874071586655229, 0.9783697297440388, 0.9727955750353366, 0.9988176654475825, 0.9936587273285343, 0.9908066157771499]"
visitall,deepseek-reasoner,lama,1.0,1.0,0.0,0.018878,0.021572,97.0,0.01767,True,True,True,True,N/A,2026-05-12T10:43:22.087969,"[3.744145, 4.274904, 4.800498, 5.437409, 31.415443, 33.679753, 37.337827, 44.235115, 46.332682, 50.142547, 53.385797, 60.701439, 71.428663, 72.919019, 81.523445]","[0.0832927988296227, 0.026422554862603254, 0.00889777514447987, 0.028734433480084753, -0.015491330096260247, -0.025211596971624894, 0.021572384431689073, -0.014374105837828166, -0.01565418655249018, 0.0017731997313970016, 0.002001685634190009, 0.02548059302700567, 0.044334189623558284, 0.052903601187749394, 0.05848839573921072]","[0.9089454688831325, 0.9691229421830589, 0.9796926599717837, 0.9651533416637422, 0.9897011897366811, 0.9761342239632154, 0.9784276155683109, 1.0, 0.9945550170844021, 0.9977191681064249, 0.987690156555705, 0.9331738532905584, 0.939171239975614, 0.9408787849903572, 0.9276734734453572]","[0.9922382677127553, 0.9955454970456622, 0.9885904351162635, 0.993887775143827, 0.9742098596404208, 0.9509226269915905, 1.0, 0.9856258941621718, 0.9789008305319119, 0.9994923678378219, 0.989691842189895, 0.958654446317564, 0.9835054295991723, 0.9937823861781065, 0.9861618691845679]"
snake,gpt-5.4-2026-03-05,lama,0.133333,0.133333,0.0,0.006575,0.0,3.0,0.25,True,True,True,True,N/A,2026-05-12T10:43:22.108239,"[5.764667, 155.558424, null, null, null, null, null, null, null, null, null, null, null, null, null]","[0.08525713614976871, 0.013366168361679143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9147428638502313, 0.969185452274972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9825516206366511, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
