Run_ID,Domain_Name,Domain_File,Problem_Instance,Planner_Used,Stage,LLM_Used,PromptID,PlanCost,Runtime_internal_s,Runtime_wall_s,Output_Status,StatesExpanded,StatesGenerated,StatesEvaluated,PeakMemoryKB,Timestamp
4396,barman,domain_gpt-5.4_lama_iter1.pddl,instance-01.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,240,0.711707,1.708008,SUCCESS,8344,108218,8345,15692,2026-05-24T16:41:04.348039+00:00
4397,barman,domain_gpt-5.4_lama_iter1.pddl,instance-02.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,221,0.753302,1.926664,SUCCESS,6722,93375,6723,15428,2026-05-24T16:41:06.357981+00:00
4398,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-01.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,240,0.782697,1.838619,SUCCESS,8344,108218,8345,15692,2026-05-24T16:41:07.526983+00:00
4399,barman,domain_gpt-5.4_lama_iter1.pddl,instance-03.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,168,0.919639,2.002766,SUCCESS,7921,125936,7926,16376,2026-05-24T16:41:08.451219+00:00
4400,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-02.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,221,0.772158,1.84372,SUCCESS,6722,93375,6723,15428,2026-05-24T16:41:09.776384+00:00
4401,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-03.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,168,0.845447,1.993757,SUCCESS,7921,125936,7926,16376,2026-05-24T16:41:12.554451+00:00
4402,barman,domain_gpt-5.4_lama_iter1.pddl,instance-04.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,258,14.078427,15.055427,SUCCESS,194310,1642792,224235,68592,2026-05-24T16:41:23.597711+00:00
4403,barman,domain_gpt-5.4_lama_iter1.pddl,instance-07.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,218,1.084901,2.184947,SUCCESS,10708,149427,10709,17232,2026-05-24T16:41:26.571517+00:00
4404,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-04.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,258,14.136322,15.196324,SUCCESS,194310,1642792,224235,68592,2026-05-24T16:41:27.840515+00:00
4405,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-07.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,218,1.089872,2.334577,SUCCESS,10708,149427,10709,17232,2026-05-24T16:41:30.275544+00:00
4406,barman,domain_gpt-5.4_lama_iter1.pddl,instance-08.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,235,2.536283,3.692554,SUCCESS,23047,320884,23071,22172,2026-05-24T16:41:30.364111+00:00
4407,barman,domain_deepseek-r1_lama_iter1.pddl,instance-01.pddl,lama,Feedback_Loop1,deepseek-reasoner,1.1,240,0.802798,1.852683,SUCCESS,8344,108218,8345,15692,2026-05-24T16:41:30.643077+00:00
4408,barman,domain_deepseek-r1_lama_iter1.pddl,instance-02.pddl,lama,Feedback_Loop1,deepseek-reasoner,1.1,221,0.731565,1.868414,SUCCESS,6722,93375,6723,15428,2026-05-24T16:41:33.314359+00:00
4409,barman,domain_gpt-5.4_lama_iter1.pddl,instance-09.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,223,2.351071,3.484962,SUCCESS,31987,368643,31988,22908,2026-05-24T16:41:33.944497+00:00
4410,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-08.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,235,2.468583,3.841567,SUCCESS,23047,320884,23071,22172,2026-05-24T16:41:34.230809+00:00
4411,barman,domain_deepseek-r1_lama_iter1.pddl,instance-03.pddl,lama,Feedback_Loop1,deepseek-reasoner,1.1,168,0.938695,2.209214,SUCCESS,7921,125936,7926,16376,2026-05-24T16:41:35.630335+00:00
4412,barman,domain_gpt-5.4_lama_iter1.pddl,instance-11.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,222,2.103602,3.371918,SUCCESS,20982,255683,21061,20492,2026-05-24T16:41:37.942750+00:00
4413,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-09.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,223,2.347675,3.622752,SUCCESS,31987,368643,31988,22908,2026-05-24T16:41:37.989938+00:00
4414,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-11.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,222,1.940919,3.127948,SUCCESS,20982,255683,21061,20492,2026-05-24T16:41:41.215404+00:00
4415,barman,domain_gpt-5.4_lama_iter1.pddl,instance-12.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,196,2.400443,3.652682,SUCCESS,25553,361333,25573,23264,2026-05-24T16:41:41.692049+00:00
4416,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-12.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,196,2.35557,3.649437,SUCCESS,25553,361333,25573,23264,2026-05-24T16:41:44.964585+00:00
4417,barman,domain_gpt-5.4_lama_iter1.pddl,instance-13.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,310,3.56018,4.794923,SUCCESS,35596,508451,35598,27436,2026-05-24T16:41:46.582640+00:00
4418,barman,domain_gpt-5.4_lama_iter1.pddl,instance-14.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,212,0.596189,1.660607,SUCCESS,7059,89711,7061,14916,2026-05-24T16:41:48.871732+00:00
4419,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-13.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,310,3.682597,4.908797,SUCCESS,35596,508451,35598,27436,2026-05-24T16:41:49.969709+00:00
4420,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-14.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,212,0.611096,1.639644,SUCCESS,7059,89711,7061,14916,2026-05-24T16:41:51.709065+00:00
4421,barman,domain_deepseek-r1_lama_iter1.pddl,instance-04.pddl,lama,Feedback_Loop1,deepseek-reasoner,1.1,258,15.172412,16.231116,SUCCESS,194310,1642792,224235,68592,2026-05-24T16:41:52.025700+00:00
4422,barman,domain_gpt-5.4_lama_iter1.pddl,instance-16.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,223,2.148118,3.345756,SUCCESS,21590,277708,21591,20908,2026-05-24T16:41:52.328467+00:00
4423,barman,domain_gpt-5.4_lama_iter1.pddl,instance-17.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,203,0.462806,1.412758,SUCCESS,5542,70667,5543,14180,2026-05-24T16:41:53.838439+00:00
4424,barman,domain_deepseek-r1_lama_iter1.pddl,instance-07.pddl,lama,Feedback_Loop1,deepseek-reasoner,1.1,218,1.190751,2.427535,SUCCESS,10708,149427,10709,17232,2026-05-24T16:41:54.583547+00:00
4425,barman,domain_claude-opus-4.6_lama_iter1.pddl,instance-16.pddl,lama,Feedback_Loop1,claude-opus-4-6,1.1,223,2.181186,3.483392,SUCCESS,21590,277708,21591,20908,2026-05-24T16:41:55.478510+00:00
4426,barman,domain_gpt-5.4_lama_iter1.pddl,instance-18.pddl,lama,Feedback_Loop1,gpt-5.4-2026-03-05,1.1,217,0.858558,2.067406,SUCCESS,8067,106044,8068,15568,2026-05-24T16:41:56.002939+00:00
