ID,Domain,LLM,Target_Planner,Best_Iteration,Total_Iterations_Run,Termination_Reason,Best_IPC_Score,Seed_IPC_Score,Improvement_vs_Seed,Validation_Failures_Total,V4_Semantic_Failures,Was_Stage2_Failure,Stage3_Domain_Path
1,barman,gpt-5.4-2026-03-05,lama,0,3,MAX_ITER,14.990105106127203,14.990105106127203,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama.pddl
2,barman,claude-opus-4-6,lama,0,3,MAX_ITER,14.986527466911646,14.986527466911646,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama.pddl
3,barman,deepseek-reasoner,lama,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama.pddl
4,barman,gemini-3.1-pro-preview-customtools,lama,3,3,MAX_ITER,14.999136036653711,0.0,14.999136036653711,0,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama.pddl
5,barman,deepseek-reasoner,decstar,0,3,MAX_ITER,3.9965015179614274,3.9965015179614274,0.0,1,1,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/barman/barman_deepseek-r1_Feedback_decstar.pddl
6,barman,gemini-3.1-pro-preview-customtools,decstar,1,3,MAX_ITER,3.9170345058892844,0.0,3.9170345058892844,1,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/barman/barman_gemini-3.1-pro_Feedback_decstar.pddl
7,barman,deepseek-reasoner,bfws,1,3,MAX_ITER,15.0,14.99842262716177,0.0015773728382306729,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/barman/barman_deepseek-r1_Feedback_bfws.pddl
8,barman,gemini-3.1-pro-preview-customtools,bfws,2,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/barman/barman_gemini-3.1-pro_Feedback_bfws.pddl
9,barman,gpt-5.4-2026-03-05,decstar,0,3,MAX_ITER,3.9994309053462467,3.9994309053462467,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/barman/barman_gpt-5.4_Feedback_decstar.pddl
10,barman,claude-opus-4-6,decstar,0,3,MAX_ITER,3.9980962548009518,3.9980962548009518,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/barman/barman_claude-opus-4.6_Feedback_decstar.pddl
11,barman,gpt-5.4-2026-03-05,bfws,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/barman/barman_gpt-5.4_Feedback_bfws.pddl
12,barman,claude-opus-4-6,bfws,1,3,MAX_ITER,14.98748665582504,14.951071758231146,0.03641489759389316,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/barman/barman_claude-opus-4.6_Feedback_bfws.pddl
13,barman,deepseek-reasoner,madagascar,2,3,MAX_ITER,5.045542091908721,3.851499854117275,1.1940422377914457,1,1,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/barman/barman_deepseek-r1_Feedback_madagascar.pddl
14,depots,deepseek-reasoner,lama,0,3,MAX_ITER,15.0,15.0,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/depots/depots_deepseek-r1_Feedback_lama.pddl
15,depots,deepseek-reasoner,decstar,0,3,MAX_ITER,14.0,14.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/depots/depots_deepseek-r1_Feedback_decstar.pddl
16,depots,deepseek-reasoner,bfws,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/depots/depots_deepseek-r1_Feedback_bfws.pddl
