ID,Domain Name,LLM Model,Prompt ID,LLM_Status,LLM API Time S,Input Tokens Consumed,Output Tokens Generated,Path to Raw LLM Response,Passed Stage V1,Path to Extracted PDDL,Passed VAL Syntactic Check (V2),VAL_error_string,Passed V3,Passed V4,Validation Status,Timestamp
1,visitall,gpt-5.4-2026-03-05,1,Passed,2.853,242,138,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\visitall\visitall_gpt-5.4_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\visitall\visitall_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:27.258480Z
2,visitall,claude-opus-4-6,1,Passed,2.899,285,140,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\visitall\visitall_claude-opus-4.6_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\visitall\visitall_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:27.269159Z
3,visitall,deepseek-reasoner,1,Passed,10.252,249,745,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\visitall\visitall_deepseek-r1_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\visitall\visitall_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:34.639362Z
4,snake,gpt-5.4-2026-03-05,1,Passed,7.482,797,586,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\snake\snake_gpt-5.4_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\snake\snake_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:35.128744Z
5,snake,claude-opus-4-6,1,Passed,7.974,929,692,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\snake\snake_claude-opus-4.6_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\snake\snake_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:35.624496Z
6,visitall,gemini-3.1-pro-preview-customtools,1,Passed,13.225,262,135,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\visitall\visitall_gemini-3.1-pro_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\visitall\visitall_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:37.225787Z
7,ricochet-robots,claude-opus-4-6,1,Passed,7.134,1069,585,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\ricochet-robots\ricochet-robots_claude-opus-4.6_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\ricochet-robots\ricochet-robots_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:43.038064Z
8,ricochet-robots,gpt-5.4-2026-03-05,1,Passed,11.450,921,500,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\ricochet-robots\ricochet-robots_gpt-5.4_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\ricochet-robots\ricochet-robots_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:46.852219Z
9,depots,claude-opus-4-6,1,Passed,7.070,734,582,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\depots\depots_claude-opus-4.6_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\depots\depots_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:50.380230Z
10,depots,gpt-5.4-2026-03-05,1,Passed,5.699,657,532,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\depots\depots_gpt-5.4_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\depots\depots_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:00:52.820724Z
