Run_ID,Domain_Name,Domain_File,Problem_Instance,Planner_Used,Stage,LLM_Used,PromptID,PlanCost,Runtime_internal_s,Runtime_wall_s,Output_Status,StatesExpanded,StatesGenerated,StatesEvaluated,PeakMemoryKB,Timestamp
1,visitall,domain.pddl,instance-01.pddl,bfws,BASELINE,N/A,N/A,919,0.334499,6.758681,SUCCESS,1118,3895,N/A,N/A,2026-04-27T12:55:15.129822+00:00
2,visitall,domain.pddl,instance-02.pddl,bfws,BASELINE,N/A,N/A,1028,0.450226,1.748477,SUCCESS,2144,5448,N/A,N/A,2026-04-27T12:55:16.943609+00:00
3,visitall,domain.pddl,instance-01.pddl,lama,BASELINE,N/A,N/A,1130,2.888691,9.383233,SUCCESS,4799,18850,4800,20004,2026-04-27T12:55:17.746895+00:00
4,visitall,domain.pddl,instance-03.pddl,bfws,BASELINE,N/A,N/A,1043,0.436566,1.863793,SUCCESS,1254,4342,N/A,N/A,2026-04-27T12:55:18.890797+00:00
5,visitall,domain.pddl,instance-04.pddl,bfws,BASELINE,N/A,N/A,1110,0.488848,2.038116,SUCCESS,1355,4688,N/A,N/A,2026-04-27T12:55:20.982868+00:00
6,visitall,domain.pddl,instance-02.pddl,lama,BASELINE,N/A,N/A,1326,3.487238,4.824467,SUCCESS,5708,22570,5709,21204,2026-04-27T12:55:22.632183+00:00
7,visitall,domain.pddl,instance-03.pddl,lama,BASELINE,N/A,N/A,1318,3.808246,5.194597,SUCCESS,6814,26686,6815,22808,2026-04-27T12:55:27.894938+00:00
8,visitall,domain.pddl,instance-07.pddl,bfws,BASELINE,N/A,N/A,2743,6.94661,11.948728,SUCCESS,3580,11966,N/A,N/A,2026-04-27T12:55:33.002884+00:00
9,visitall,domain.pddl,instance-04.pddl,lama,BASELINE,N/A,N/A,1573,4.421032,6.0987,SUCCESS,7734,30444,7735,24432,2026-04-27T12:55:34.097735+00:00
10,visitall,domain.pddl,instance-08.pddl,bfws,BASELINE,N/A,N/A,2850,7.09572,12.476695,SUCCESS,3717,12467,N/A,N/A,2026-04-27T12:55:45.537551+00:00
11,visitall,domain.pddl,instance-09.pddl,bfws,BASELINE,N/A,N/A,2959,7.58809,12.856683,SUCCESS,3949,13068,N/A,N/A,2026-04-27T12:55:58.503084+00:00
12,visitall,domain.pddl,instance-07.pddl,lama,BASELINE,N/A,N/A,3494,30.081793,33.041333,SUCCESS,20520,81445,20521,68636,2026-04-27T12:56:07.199470+00:00
13,visitall,domain.pddl,instance-11.pddl,bfws,BASELINE,N/A,N/A,3179,13.1985,19.838127,SUCCESS,4210,13952,N/A,N/A,2026-04-27T12:56:18.396917+00:00
14,visitall,domain.pddl,instance-12.pddl,bfws,BASELINE,N/A,N/A,3294,11.6554,17.808816,SUCCESS,4347,14400,N/A,N/A,2026-04-27T12:56:36.262736+00:00
